ecotypeid,name,country,weightmasterseed,estimatedseednumber,seedsperplot
159,MAR2-3,FRA,0.3004,16638,17.33125
265,PYL-6,FRA,0.325,18000,18.75
763,Kar-1,KGZ,0.1827,10119,10.540625
765,Sus-1,KGZ,0.2994,16582,17.27291667
766,Dja-1,KGZ,0.3004,16638,17.33125
768,Zal-1,KGZ,0.3099,17164,17.87916667
772,Neo-6,TJK,0.3091,17120,17.83333333
5151,UKSE06-325,UK,0.2959,16389,17.071875
5165,UKSE06-362,UK,0.3171,17563,18.29479167
5768,UKID63,UK,0.3076,17037,17.746875
5772,Set-1,UK,0.3059,16942,17.64791667
5784,Ty-1,UK,0.3011,16677,17.371875
5811,UKID107,UK,0.3194,17690,18.42708333
6013,Eden-9,SWE,0.2985,16533,17.221875
6025,Gro-3,SWE,0.2282,12639,13.165625
6040,Kni-1,SWE,0.3056,16926,17.63125
6073,OMo1-7,SWE,0.1625,9000,9.375
6074,Or-1,SWE,0.2099,11625,12.109375
6108,T480,SWE,0.3043,16854,17.55625
6150,T980,SWE,0.2899,16056,16.725
6177,TAL,SWE,0.3388,18765,19.546875
6180,TAL 07,SWE,0.2993,16577,17.26770833
6184,TBO,SWE,0.3013,16688,17.38333333
6188,TDr-1,SWE,0.2983,16522,17.21041667
6195,TDr-9,SWE,0.31,17170,17.88541667
6209,TEDEN,SWE,0.3003,16632,17.325
6216,TFA,SWE,0.3043,16854,17.55625
6243,Tottarp-2,SWE,0.3053,16909,17.61354167
6244,TRA 01,SWE,0.3166,17535,18.265625
6898,An-1,BEL,0.304,16837,17.53854167
6911,Cvi-0,CPV,0.2999,16610,17.30208333
6915,Ei-2,GER,0.3037,16821,17.521875
6929,Kondara,TJK,0.3001,16621,17.31354167
6932,Ler-1,GER,0.1915,10606,11.04791667
6938,Ms-0,RUS,0.2984,16527,17.215625
6939,Mt-0,LIB,0.3065,16976,17.68333333
6940,Mz-0,GER,0.3181,17618,18.35208333
6945,Nok-3,NED,0.3009,16666,17.36041667
6958,Ra-0,FRA,0.303,16782,17.48125
6961,Se-0,ESP,0.3027,16765,17.46354167
6963,Sorbo,TJK,0.3031,16787,17.48645833
6979,Wei-0,SUI,0.3018,16715,17.41145833
6987,Ak-1,GER,0.3034,16804,17.50416667
7000,Aa-0,GER,0.2086,11553,12.034375
7002,Baa-1,NED,0.3011,16677,17.371875
7003,Bs-1,SUI,0.3029,16776,17.475
7008,Benk-1,NED,0.3019,16721,17.41770833
7013,Bd-0,GER,0.3016,16704,17.4
7025,Bl-1,ITA,0.3065,16976,17.68333333
7028,Bch-1,GER,0.2962,16405,17.08854167
7031,Bsch-0,GER,0.3021,16732,17.42916667
7036,Bu-0,GER,0.305,16893,17.596875
7062,Ca-0,GER,0.3017,16710,17.40625
7063,Can-0,ESP,0.2978,16494,17.18125
7067,Ct-1,ITA,0.2982,16516,17.20416667
7071,Chat-1,FRA,0.3195,17696,18.43333333
7077,Co-1,POR,0.3015,16699,17.39479167
7092,Com-1,FRA,0.309,17114,17.82708333
7103,Dra-0,CZE,0.3017,16710,17.40625
7106,Dr-0,GER,0.3138,17380,18.10416667
7125,Er-0,GER,0.3083,17075,17.78645833
7126,Es-0,FIN,0.3204,17746,18.48541667
7127,Est,GER,0.2984,16527,17.215625
7143,Gel-1,NED,0.3164,17524,18.25416667
7164,Hau-0,DEN,0.2087,11559,12.040625
7165,Hn-0,GER,0.295,16339,17.01979167
7186,Kn-0,LTU,0.3477,19258,20.06041667
7203,Krot-0,GER,0.303,16782,17.48125
7209,La-0,POL,0.3033,16798,17.49791667
7217,Lm-2,FRA,0.3011,16677,17.371875
7218,Le-0,NED,0.3067,16987,17.69479167
7244,Mnz-0,GER,0.2996,16594,17.28541667
7255,Mh-0,POL,0.302,16726,17.42291667
7268,Np-0,GER,0.301,16671,17.365625
7273,No-0,GER,0.3157,17485,18.21354167
7276,Ob-0,GER,0.306,16948,17.65416667
7282,Or-0,GER,0.3059,16942,17.64791667
7287,Ove-0,GER,0.3031,16787,17.48645833
7288,Oy-0,NOR,0.3082,17070,17.78125
7296,Petergof,RUS,0.3075,17031,17.740625
7298,Pi-0,AUT,0.3017,16710,17.40625
7316,Rhen-1,NED,0.3122,17291,18.01145833
7323,Rubezhnoe-1,UKR,0.314,17391,18.115625
7333,Sei-0,ITA,0.2643,14638,15.24791667
7346,Ste-0,GER,0.3212,17790,18.53125
7347,Stw-0,RUS,0.3094,17136,17.85
7353,Tha-1,NED,0.3055,16920,17.625
7372,Tscha-1,AUT,0.2961,16400,17.08333333
7378,Uk-1,GER,0.3023,16743,17.440625
7384,Ven-1,NED,0.2999,16610,17.30208333
7394,Wa-1,POL,0.2997,16599,17.290625
7404,Wc-1,GER,0.3123,17297,18.01770833
7411,Wl-0,GER,0.3026,16760,17.45833333
7521,Lp2-6,CZE,0.3051,16898,17.60208333
8214,Gy-0,FRA,0.3009,16666,17.36041667
8230,Algutsrum,SWE,0.3044,16859,17.56145833
8231,Bro1-6,SWE,0.2977,16488,17.175
8240,Kulturen-1,SWE,0.3031,16787,17.48645833
8247,San-2,SWE,0.3246,17978,18.72708333
8249,Vimmerby,SWE,0.3117,17264,17.98333333
8311,In-0,AUT,0.3063,16965,17.671875
8312,Is-0,GER,0.2989,16555,17.24479167
8351,Ost-0,SWE,0.3049,16887,17.590625
