ID,match_1001G_250K,final1001G_name,final1001G_CS,final1001G_country,final1001G_latitude,final1001G_longitude,dat250K_name,dat250K_CS,dat250K_country,dat250K_latitude,dat250K_longitude,RegMap_name,RegMap_CS,RegMap_country,RegMap_latitude,RegMap_longitude,old1001G_name,old1001G_CS,old1001G_country,old1001G_latitude,old1001G_longitude
1,no,,,,,,ALL1-2, ,France,45.2667,1.48333,ALL1-2, ,France,45.2667,1.48333,,,,,
2,no,,,,,,ALL1-3, ,France,45.2667,1.48333,ALL1-3, ,France,45.2667,1.48333,,,,,
4,no,,,,,,ALL1-5, ,France,45.2667,1.48333,ALL1-5, ,France,45.2667,1.48333,,,,,
5,no,,,,,,ALL1-6, ,France,45.2667,1.48333,ALL1-6, ,France,45.2667,1.48333,,,,,
6,no,,,,,,ALL1-7, ,France,45.2667,1.48333,ALL1-7, ,France,45.2667,1.48333,,,,,
7,no,,,,,,ALL1-8, ,France,45.2667,1.48333,ALL1-8, ,France,45.2667,1.48333,,,,,
8,no,,,,,,ALL1-9, ,France,45.2667,1.48333,ALL1-9, ,France,45.2667,1.48333,,,,,
9,no,,,,,,ALL2-1, ,France,45.2667,1.48333,ALL2-1, ,France,45.2667,1.48333,,,,,
12,no,,,,,,ALL2-4, ,France,45.2667,1.48333,ALL2-4, ,France,45.2667,1.48333,,,,,
23,no,,,,,,CAM-16, ,France,48.2667,-4.58333,CAM-16, ,France,48.2667,-4.58333,,,,,
32,no,,,,,,CAM-25, ,France,48.2667,-4.58333,CAM-25, ,France,48.2667,-4.58333,,,,,
45,no,,,,,,CAM-42, ,France,48.2667,-4.58333,CAM-42, ,France,48.2667,-4.58333,,,,,
48,no,,,,,,CAM-45, ,France,48.2667,-4.58333,CAM-45, ,France,48.2667,-4.58333,,,,,
51,no,,,,,,CAM-48, ,France,48.2667,-4.58333,CAM-48, ,France,48.2667,-4.58333,,,,,
60,no,,,,,,CAM-56, ,France,48.2667,-4.58333,CAM-56, ,France,48.2667,-4.58333,,,,,
62,no,,,,,,CAM-58, ,France,48.2667,-4.58333,CAM-58, ,France,48.2667,-4.58333,,,,,
66,no,,,,,,CAM-61, ,France,48.2667,-4.58333,CAM-61, ,France,48.2667,-4.58333,,,,,
69,no,,,,,,CAM-64, ,France,48.2667,-4.58333,CAM-64, ,France,48.2667,-4.58333,,,,,
74,no,,,,,,CAM-7, ,France,48.2667,-4.58333,CAM-7, ,France,48.2667,-4.58333,,,,,
77,no,,,,,,CLA-7, ,France,48.8,2.26667,CLA-7, ,France,48.8,2.26667,,,,,
79,no,,,,,,CUR-10, ,France,45,1.75,CUR-10, ,France,45,1.75,,,,,
80,no,,,,,,CUR-2, ,France,45,1.75,CUR-2, ,France,45,1.75,,,,,
81,no,,,,,,CUR-3, ,France,45,1.75,CUR-3, ,France,45,1.75,,,,,
82,no,,,,,,CUR-4, ,France,45,1.75,CUR-4, ,France,45,1.75,,,,,
83,no,,,,,,CUR-5, ,France,45,1.75,CUR-5, ,France,45,1.75,,,,,
84,no,,,,,,CUR-6, ,France,45,1.75,CUR-6, ,France,45,1.75,,,,,
85,no,,,,,,CUR-7, ,France,45,1.75,CUR-7, ,France,45,1.75,,,,,
86,no,,,,,,CUR-8, ,France,45,1.75,CUR-8, ,France,45,1.75,,,,,
87,no,,,,,,CUR-9, ,France,45,1.75,CUR-9, ,France,45,1.75,,,,,
89,no,,,,,,DAM1, ,France,48.7,1.98333,DAM1, ,France,48.7,1.98333,,,,,
91,no,,,,,,JEA, ,France,43.6833,7.33333,JEA, ,France,43.6833,7.33333,,,,,
94,no,,,,,,LAC-3, ,France,47.7,6.81667,LAC-3, ,France,47.7,6.81667,,,,,
96,no,,,,,,LAC-5, ,France,47.7,6.81667,LAC-5, ,France,47.7,6.81667,,,,,
104,no,,,,,,LDV-14, ,France,48.5167,-4.06667,LDV-14, ,France,48.5167,-4.06667,,,,,
106,no,,,,,,LDV-16, ,France,48.5167,-4.06667,LDV-16, ,France,48.5167,-4.06667,,,,,
108,no,LDV-18,CS77013,FRA,48.5167,-4.06667,,,,,,,,,,,LDV-18,LDV-18,FRA,48.5167,-4.06667
116,no,,,,,,LDV-25, ,France,48.5167,-4.06667,LDV-25, ,France,48.5167,-4.06667,,,,,
121,no,,,,,,LDV-3, ,France,48.5167,-4.06667,LDV-3, ,France,48.5167,-4.06667,,,,,
122,no,,,,,,LDV-30, ,France,48.5167,-4.06667,LDV-30, ,France,48.5167,-4.06667,,,,,
123,no,,,,,,LDV-31, ,France,48.5167,-4.06667,LDV-31, ,France,48.5167,-4.06667,,,,,
126,no,,,,,,LDV-34, ,France,48.5167,-4.06667,LDV-34, ,France,48.5167,-4.06667,,,,,
137,no,,,,,,LDV-44, ,France,48.5167,-4.06667,LDV-44, ,France,48.5167,-4.06667,,,,,
139,no,LDV-46,CS77014,FRA,48.5167,-4.06667,,,,,,,,,,,LDV-46,LDV-46,FRA,48.5167,-4.06667
146,no,,,,,,LDV-53, ,France,48.5167,-4.06667,LDV-53, ,France,48.5167,-4.06667,,,,,
148,no,,,,,,LDV-57, ,France,48.5167,-4.06667,LDV-57, ,France,48.5167,-4.06667,,,,,
149,no,,,,,,LDV-58, ,France,48.5167,-4.06667,LDV-58, ,France,48.5167,-4.06667,,,,,
