ID	name	country	weight_put_on_master_mix (g)	estimated number of seeds in total
159	MAR2-3	FRA	0.3004	15590.76
265	PYL-6	FRA	0.325	16867.5
763	Kar-1	KGZ	0.1827	9482.13
765	Sus-1	KGZ	0.2994	15538.86
766	Dja-1	KGZ	0.3004	15590.76
768	Zal-1	KGZ	0.3099	16083.81
772	Neo-6	TJK	0.3091	16042.29
5151	UKSE06-325	UK	0.2959	15357.21
5165	UKSE06-362	UK	0.3171	16457.49
5768	UKID63	UK	0.3076	15964.44
5772	Set-1	UK	0.3059	15876.21
5784	Ty-1	UK	0.3011	15627.09
5811	UKID107	UK	0.3194	16576.86
6013	Eden-9	SWE	0.2985	15492.15
6025	Gro-3	SWE	0.2282	11843.58
6040	Kni-1	SWE	0.3056	15860.64
6073	OMo1-7	SWE	0.1625	8433.75
6074	Or-1	SWE	0.2099	10893.81
6108	T480	SWE	0.3043	15793.17
6150	T980	SWE	0.2899	15045.81
6177	TAL	SWE	0.3388	17583.72
6180	TAL 07	SWE	0.2993	15533.67
6184	TBO	SWE	0.3013	15637.47
6188	TDr-1	SWE	0.2983	15481.77
6195	TDr-9	SWE	0.31	16089
6209	TEDEN	SWE	0.3003	15585.57
6216	TFA	SWE	0.3043	15793.17
6243	Tottarp-2	SWE	0.3053	15845.07
6244	TRA 01	SWE	0.3166	16431.54
6898	An-1	BEL	0.304	15777.6
6911	Cvi-0	CPV	0.2999	15564.81
6915	Ei-2	GER	0.3037	15762.03
6929	Kondara	TJK	0.3001	15575.19
6932	Ler-1	GER	0.1915	9938.85
6938	Ms-0	RUS	0.2984	15486.96
6939	Mt-0	LIB	0.3065	15907.35
6940	Mz-0	GER	0.3181	16509.39
6945	Nok-3	NED	0.3009	15616.71
6958	Ra-0	FRA	0.303	15725.7
6961	Se-0	ESP	0.3027	15710.13
6963	Sorbo	TJK	0.3031	15730.89
6979	Wei-0	SUI	0.3018	15663.42
6987	Ak-1	GER	0.3034	15746.46
7000	Aa-0	GER	0.2086	10826.34
7002	Baa-1	NED	0.3011	15627.09
7003	Bs-1	SUI	0.3029	15720.51
7008	Benk-1	NED	0.3019	15668.61
7013	Bd-0	GER	0.3016	15653.04
7025	Bl-1	ITA	0.3065	15907.35
7028	Bch-1	GER	0.2962	15372.78
7031	Bsch-0	GER	0.3021	15678.99
7036	Bu-0	GER	0.305	15829.5
7062	Ca-0	GER	0.3017	15658.23
7063	Can-0	ESP	0.2978	15455.82
7067	Ct-1	ITA	0.2982	15476.58
7071	Chat-1	FRA	0.3195	16582.05
7077	Co-1	POR	0.3015	15647.85
7092	Com-1	FRA	0.309	16037.1
7103	Dra-0	CZE	0.3017	15658.23
7106	Dr-0	GER	0.3138	16286.22
7125	Er-0	GER	0.3083	16000.77
7126	Es-0	FIN	0.3204	16628.76
7127	Est	GER	0.2984	15486.96
7143	Gel-1	NED	0.3164	16421.16
7164	Hau-0	DEN	0.2087	10831.53
7165	Hn-0	GER	0.295	15310.5
7186	Kn-0	LTU	0.3477	18045.63
7203	Krot-0	GER	0.303	15725.7
7209	La-0	POL	0.3033	15741.27
7217	Lm-2	FRA	0.3011	15627.09
7218	Le-0	NED	0.3067	15917.73
7244	Mnz-0	GER	0.2996	15549.24
7255	Mh-0	POL	0.302	15673.8
7268	Np-0	GER	0.301	15621.9
7273	No-0	GER	0.3157	16384.83
7276	Ob-0	GER	0.306	15881.4
7282	Or-0	GER	0.3059	15876.21
7287	Ove-0	GER	0.3031	15730.89
7288	Oy-0	NOR	0.3082	15995.58
7296	Petergof	RUS	0.3075	15959.25
7298	Pi-0	AUT	0.3017	15658.23
7316	Rhen-1	NED	0.3122	16203.18
7323	Rubezhnoe-1	UKR	0.314	16296.6
7333	Sei-0	ITA	0.2643	13717.17
7346	Ste-0	GER	0.3212	16670.28
7347	Stw-0	RUS	0.3094	16057.86
7353	Tha-1	NED	0.3055	15855.45
7372	Tscha-1	AUT	0.2961	15367.59
7378	Uk-1	GER	0.3023	15689.37
7384	Ven-1	NED	0.2999	15564.81
7394	Wa-1	POL	0.2997	15554.43
7404	Wc-1	GER	0.3123	16208.37
7411	Wl-0	GER	0.3026	15704.94
7521	Lp2-6	CZE	0.3051	15834.69
8214	Gy-0	FRA	0.3009	15616.71
8230	Algutsrum	SWE	0.3044	15798.36
8231	Bro1-6	SWE	0.2977	15450.63
8240	Kulturen-1	SWE	0.3031	15730.89
8247	San-2	SWE	0.3246	16846.74
8249	Vimmerby	SWE	0.3117	16177.23
8311	In-0	AUT	0.3063	15896.97
8312	Is-0	GER	0.2989	15512.91
8351	Ost-0	SWE	0.3049	15824.31
8354	Per-1	RUS	0.3035	15751.65
8357	Pla-0	ESP	0.3051	15834.69
8376	Sanna-2	SWE	0.3015	15647.85
8387	St-0	SWE	0.3218	16701.42
9057	Vinslov	SWE	0.2968	15403.92
9058	Vastervik	SWE	0.3028	15715.32
9323	Adal 3	SWE	0.2075	10769.25
9371	FaL	SWE	0.2905	15076.95
9394	Hag-2	SWE	0.2956	15341.64
9416	Kru-3	SWE	0.2929	15201.51
9427	Nas	SWE	0.3016	15653.04
9470	Tur-4	SWE	0.3009	15616.71
9481	Yst-1	SWE	0.2996	15549.24
9506	IP-Alo-0	POR	0.2989	15512.91
9507	IP-Coa-0	POR	0.3011	15627.09
9510	IP-Rei-0	POR	0.3008	15611.52
9512	IP-Vid-1	POR	0.3004	15590.76
9517	IP-All-0	ESP	0.3287	17059.53
9518	IP-Alm-0	ESP	0.305	15829.5
9521	IP-Bar-1	ESP	0.303	15725.7
9522	IP-Bea-0	ESP	0.3009	15616.71
9523	IP-Ben-0	ESP	0.304	15777.6
9524	IP-Ber-0	ESP	0.3136	16275.84
9526	IP-Cab-3	ESP	0.2994	15538.86
9527	IP-Cad-0	ESP	0.3021	15678.99
9528	IP-Cal-0	ESP	0.3021	15678.99
9529	IP-Cap-1	ESP	0.3049	15824.31
9534	IP-Cmo-3	ESP	0.306	15881.4
9535	IP-Coc-1	ESP	0.3052	15839.88
9537	IP-Cum-1	ESP	0.3015	15647.85
9539	IP-Deh-1	ESP	0.2992	15528.48
9542	IP-Fun-0	ESP	0.3983	20671.77
9544	IP-Gua-1	ESP	0.2997	15554.43
9547	IP-Hor-0	ESP	0.2982	15476.58
9548	IP-Hoy-0	ESP	0.2996	15549.24
9549	IP-Hum-2	ESP	0.3016	15653.04
9555	IP-Mar-1	ESP	0.325	16867.5
9557	IP-Moa-0	ESP	0.3369	17485.11
9559	IP-Mon-5	ESP	0.328	17023.2
9560	IP-Mot-0	ESP	0.2996	15549.24
9562	IP-Mur-0	ESP	0.2983	15481.77
