SITE_CODE	LONGITUDE	LATITUDE
1	9.034098	48.541492
2	3.862563	43.637546
3	-76.4951412	44.2252795
4	-5.4976326	36.7658248
5	3.689585	40.544968
6	2.17055556	41.61333333
9	-73.73042	41.128624
10	-97.7782	30.2843
11	-92.2048	38.8941
20	-3.1378173	37.0416164
21	-3.434291	37.111931
23	-93.2277285	44.97399
24	12.2513095	47.4497732
25	11.6952054	48.4051635
26	34.7827	30.85642
27	26.3540068	58.2590013
28	-78.9382286	36.0014258
30	6.5326166	53.2412578
31	34.8059428	32.1147942
32	2.5808832	39.6665263
33	6.576619	46.522265
35	-2.3246	51.3956
36	-1.1951582	52.938636
37	5.1070722	60.6955192
41	14.5603064	50.0017145
42	20.985389	52.213833
43	26.568663	39.082996
44	17.2842162	62.3946271
45	-3.883385	40.334126
46	9.933494	49.764978
47	13.066667	52.4
49	9.1788	47.6921
50	-79.5316	44.0296
52	11.87735	51.391832
53	11.932163	51.496912
54	6.936381	50.925398
55	3.842508	45.916962
56	22.27434199	60.30133134
57	5.172565	52.089908
58	6.399983	45.036433
59	6.8570133	50.9569603
7	-87.5987133	41.7886079
48	-73.204257	44.431263
60	-121.74051	38.5449
