ID	name	country	Niek has seeds	Francois has seeds	Moi seeds	notes	for_master_mix (ml)	weight
10011				x		not in original list 	0.2	
9977				x		not in original list 	0.25	
9978				x		not in original list 	0.25	
763	Kar-1	KGZ	no		yes		0.5	
5784	Ty-1	UK	no				0.5	
6025	Gro-3	SWE	x				0.5	
6073	Ã–MÃ¶1-7	SWE	no				0.5	
6074	Ã–r-1	SWE	too few seeds 				0.5	
6177	TÃ„L	SWE	no				0.5	
6184	TBÃ–	SWE	not many seeds but maybe enough				0.5	
6932	Ler-1	GER					0.5	
7164	Hau-0	DEN	not many seeds but may be enough 				0.5	
7333	Sei-0	ITA	no				0.5	
9323							0.5	
9481	Yst-1	SWE	x	x			0.5	
9524	IP-Ber-0	ESP	x				0.5	
9539	IP-Deh-1	ESP	x				0.5	
9560	IP-Mot-0	ESP	x	no			0.5	
9584	IP-Stp-0	ESP	x	x			0.5	
9586	IP-Tam-0	ESP	no	no			0.5	
9602	IP-Vpa-1	ESP	no	no			0.5	
9606	Aitba-1	MAR	x	low (but more will be available soon)			0.5	
9940				x		not in original list 	0.5	
9965				x		not in original list 	0.5	
9966				x		not in original list 	0.5	
9985				x		not in original list 	0.5	
10002				x		not in original list 	0.5	
10013				x		not in original list 	0.5	
9761	Bilk-1	LBN			yes		0.5	
9764	Qar-8a	LBN			yes		0.5	
2748	?	?	x			not in original list 	1	
5151	UKSE06-325	UK	x				1	
6108	T480	SWE	no 				1	
6150	T980	SWE	no				1	
6209	TEDEN	SWE	no				1	
6244	TRÃ„	SWE	x				1	
6961	Se-0	ESP	x				1	
6979	Wei-0	SUI	x				1	
7203	Krot-0	GER	x				1	
7209	La-0	POL	x				1	
7296	Petergof	RUS	x				1	
7298	Pi-0	AUT	x				1	
8230	Algutsrum	SWE	x				1	
8240	Kulturen-1	SWE	x				1	
9371	FÃ¤L	SWE	x				1	
9507	IP-Coa-0	POR	x				1	
9521	IP-Bar-1	ESP	x				1	
9523	IP-Ben-0	ESP	x				1	
9544	IP-Gua-1	ESP	x				1	
9555	IP-Mar-1	ESP	x				1	
9557	IP-Moa-0	ESP	x	x			1	
9587	IP-Tdc-0	ESP	x	no			1	
9697	Dolen-1	BUL	x	low			1	
9766	Westkar-4	KGZ	x	x			1	
9769	HE-1	GER	x	x			1	
9857				x			1	
765	Sus-1	KGZ	x				1.5	
6013	?	?	x			not in original list 	1.5	
7077	Co-1	POR	x				1.5	
7092	Com-1	FRA	x				1.5	
7106	Dr-0	GER	x				1.5	
7165	Hn-0	GER	x				1.5	
7186	Kn-0	LTU	x				1.5	
7316	Rhen-1	NED	x				1.5	
7323	Rubezhnoe-1	UKR	x				1.5	
7394	Wa-1	POL	x				1.5	
8231	BrÃ¶1-6	SWE	x				1.5	
8376	Sanna-2	SWE	x				1.5	
9058	VÃ¤stervik	SWE	x				1.5	
9510	IP-Rei-0	POR	x				1.5	
9527	IP-Cad-0	ESP	x				1.5	
9534	IP-Cmo-3	ESP	x				1.5	
9537	IP-Cum-1	ESP	x				1.5	
9559	IP-Mon-5	ESP	x	no			1.5	
9579	IP-San-10	ESP	x	no			1.5	
9594	IP-Vdm-0	ESP	x	no			1.5	
9634	Masl-1	RUS	x	x			1.5	
9649	Bivio-1	ITA	x	no			1.5	
9698	Goced-1	BUL	x	x			1.5	
9716	Leska-1	BUL	x	x			1.5	
9739	Toc-1	ROU	x	x			1.5	
9775	Berg-1	GER	x	x			1.5	
9820	?	?	x	no		not in original list 	1.5	
9879	Per-0	?	x	low		not in original list 	1.5	
9920	DIR-9	FRA	x	x			1.5	
9992	Dog-4	TUR	x	no			1.5	
10014	Xan-1	AZE	x	no			1.5	
159	MAR2-3	FRA	x				2	
265	PYL-6	FRA	x				2	
766	Dja-1	KGZ	x				2	
768	Zal-1	KGZ	x				2	
772	Neo-6	TJK	x				2	
5165	UKSE06-362	UK	x				2	
5768	UKID63	UK	x				2	
5772	Set-1	UK	x				2	
5811	UKID107	UK	x				2	
6040	Kni-1	SWE	x				2	
6180	TÃ„L	SWE	x				2	
6188	?	?	x			not in original list 	2	
6195	TDr-9	SWE	x				2	
6216	TFÃ„	SWE	x				2	
6243	Tottarp-2	SWE	x				2	
6898	An-1	BEL	x				2	
6911	Cvi-0	CPV	x				2	
6915	Ei-2	GER	x				2	
6929	Kondara	TJK	x				2	
6938	Ms-0	RUS	x				2	
