,id,Sequenced by,Name,Country,Lat,Long,Collector,CS Number,Admixture Group
0,88,Monsanto,CYR,FRA,47.4,0.683333,Valerie Le Corre,CS76790,blu_circle
1,108,Monsanto,LDV-18,FRA,48.5167,-4.06667,Valerie Le Corre,CS77013,blu_circle
2,139,Monsanto,LDV-46,FRA,48.5167,-4.06667,Valerie Le Corre,CS77014,blu_circle
3,159,Monsanto,MAR2-3,FRA,47.35,3.93333,Valerie Le Corre,CS77070,blu_circle
4,265,Monsanto,PYL-6,FRA,44.65,-1.16667,Valerie Le Corre,CS77198,forbidden
5,350,Monsanto,TOU-A1-88,FRA,46.6667,4.11667,Fabrice Roux,CS77382,blu_circle
6,351,Monsanto,TOU-A1-89,FRA,46.6667,4.11667,Fabrice Roux,CS77383,blu_circle
7,403,Monsanto,Zdarec3,CZE,49.3667,16.2667,Marie-Theres Hauser,CS78873,ylw_circle
8,410,Monsanto,Doubravnik7,CZE,49.4211,16.3497,Marie-Theres Hauser,CS76808,ylw_circle
9,424,Monsanto,Draha2,CZE,49.4112,16.2815,Marie-Theres Hauser,CS76812,ylw_circle
10,428,Monsanto,Borky1,CZE,49.403,16.232,Marie-Theres Hauser,CS76718,ylw_circle
11,430,Salk,Gr-1,AUT,47.0,15.5,Albert Kranz,CS76496,ylw_circle
12,470,MPI,BRR4,USA,40.8313,-87.735,Diane Byers,CS78943,ltblu_circle
13,476,MPI,BRR12,USA,40.8313,-87.735,Diane Byers,CS78944,ltblu_circle
14,484,MPI,BRR23,USA,40.8313,-87.735,Diane Byers,CS78945,ltblu_circle
15,504,MPI,BRR57,USA,40.8313,-87.735,Diane Byers,CS78946,ltblu_circle
16,506,MPI,BRR60,USA,40.8313,-87.735,Diane Byers,CS78947,ltblu_circle
17,531,MPI,BRR107,USA,40.8313,-87.735,Diane Byers,CS78948,ltblu_circle
18,544,MPI,LI-WP-039,USA,40.9076,-73.2089,Oliver Bossdorf,CS78949,ltblu_circle
19,546,MPI,LI-WP-041,USA,40.9076,-73.2089,Oliver Bossdorf,CS78950,ltblu_circle
20,628,MPI,LI-OF-061,USA,40.7777,-72.9069,Oliver Bossdorf,CS78951,blu_circle
21,630,Monsanto,LI-OF-065,USA,40.7777,-72.9069,Oliver Bossdorf,CS77036,blu_circle
22,680,MPI,LI-RR-096,USA,40.9447,-72.8615,Oliver Bossdorf,CS78952,ltblu_circle
23,681,MPI,LI-RR-097,USA,40.9447,-72.8615,Oliver Bossdorf,CS78953,ltblu_circle
24,685,MPI,LI-EF-011,USA,40.9064,-73.1493,Oliver Bossdorf,CS78954,ltblu_circle
25,687,MPI,LI-EF-018,USA,40.9064,-73.1493,Oliver Bossdorf,CS78955,ltblu_circle
26,728,MPI,LI-SET-019,USA,40.9352,-73.114,Oliver Bossdorf,CS78956,ltblu_circle
27,742,MPI,LI-SET-036,USA,40.9352,-73.114,Oliver Bossdorf,CS78957,ltblu_circle
28,763,Salk,Kar-1,KGZ,42.3,74.3667,Olivier Loudet,CS76522,purple_circle
29,765,Salk,Sus-1,KGZ,42.1833,73.4,Olivier Loudet,CS76607,purple_circle
30,766,Salk,Dja-1,KGZ,42.5833,73.6333,Olivier Loudet,CS76473,purple_circle
31,768,Salk,Zal-1,KGZ,42.8,76.35,Olivier Loudet,CS76634,purple_circle
32,772,Salk,Neo-6,TJK,37.35,72.4667,Olivier Loudet,CS76560,purple_circle
33,801,Monsanto,KYC-33,USA,37.9169,-84.4639,Kathleen Donohue,CS76992,ltblu_circle
34,853,MPI,MIA-1,USA,41.7976,-86.6691,Kathleen Donohue,CS78958,ltblu_circle
35,854,MPI,MIA-5,USA,41.7976,-86.6691,Kathleen Donohue,CS78959,ltblu_circle
36,867,MPI,MIC-20,USA,41.8266,-86.4366,Kathleen Donohue,CS78960,ltblu_circle
37,868,MPI,MIC-24,USA,41.8266,-86.4366,Kathleen Donohue,CS78961,ltblu_circle
