,kind,id,name,mimeType,folder_id
0,drive#file,1VrQoHpf3bOB9GHjJYXgAC_c5MrOBNcJJ,27-12-40AFA621_20220821.xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,1s2X8ebtrBeF3gbRIWJrfZ4qpVFbbPT5E
1,drive#file,1EHHqJJKMe-XH1ZRvqu5NUj53IgcbYgUH,27-01-40A2A421_20220821.csv,text/csv,1s2X8ebtrBeF3gbRIWJrfZ4qpVFbbPT5E
2,drive#file,1pkPYBU3ft_IFjCFwtEGLq-4jw5f74VnK,27-01-40A2A421_20220821.xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,1s2X8ebtrBeF3gbRIWJrfZ4qpVFbbPT5E
3,drive#file,1YgmtT6VrbPrGdLZ_9mAcVv42jTm6tI1I,27-12-40AFA621_20220821.csv,text/csv,1s2X8ebtrBeF3gbRIWJrfZ4qpVFbbPT5E
4,drive#file,1-hYO2LMPbS89LJRZGhjHF1zXLUQI9jk_,27-12-40AFA621_20220409.csv,text/csv,1s2X8ebtrBeF3gbRIWJrfZ4qpVFbbPT5E
5,drive#file,1-cXOjnDd3iDMkXfAftne1xm-K4_CkLBn,27-12-40AFA621_20220409.xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,1s2X8ebtrBeF3gbRIWJrfZ4qpVFbbPT5E
6,drive#file,1-cyQELJ2IoxeU8yceAJ3o3xSwFbZzJVr,27-TH-H-20220409.xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,1s2X8ebtrBeF3gbRIWJrfZ4qpVFbbPT5E
7,drive#file,1-bjNqtgtkF6ovFxkc_yFIcLbjfNBkejA,27-TH-T-20220409.xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,1s2X8ebtrBeF3gbRIWJrfZ4qpVFbbPT5E
8,drive#file,102XI_f8f1iwTv_wfEWlkQtDEpB3ILisH,27-TH-T-20220409.csv,text/csv,1s2X8ebtrBeF3gbRIWJrfZ4qpVFbbPT5E
9,drive#file,1-cktyRNnSVn0Xwj4kek3M8jBjsZu8oH7,27-TH-H-20220409.csv,text/csv,1s2X8ebtrBeF3gbRIWJrfZ4qpVFbbPT5E
10,drive#file,1-cK5hJtAXvcMrrRXLLnD7Of222GQbrZz,27-01-40A2A421_20220409.csv,text/csv,1s2X8ebtrBeF3gbRIWJrfZ4qpVFbbPT5E
11,drive#file,1-iwkq4Suo8Q_Yql7PAKqRP5Kyj3UpOUN,27-01-40A2A421_20220409.xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,1s2X8ebtrBeF3gbRIWJrfZ4qpVFbbPT5E
0,drive#file,1wf1vef3qJS33gB8HhMtot2iwQcOSV7MZ,45-03-40C39921-20220728.csv,text/csv,1MsiqFnMcDcPjxaYMBMtH_z_dVcLH5HNp
1,drive#file,1-42JELbcHrj3S81L0PHpGx3oWP5Oc9t_,45-10-40AE9821-20220728.csv,text/csv,1MsiqFnMcDcPjxaYMBMtH_z_dVcLH5HNp
2,drive#file,1K49HsV717QBM9vE6otNUeNSOw_ONviOv,45-TH-T-20220728.csv,text/csv,1MsiqFnMcDcPjxaYMBMtH_z_dVcLH5HNp
3,drive#file,1Dyt9kUcTB0-dP_iXTkHLUOyWIyGcsu8O,45-TH-H-20220728.csv,text/csv,1MsiqFnMcDcPjxaYMBMtH_z_dVcLH5HNp
0,drive#file,1e5BUMfzulqScogzidkqsY6sC82UcpRgw,05-10-40B1D421-20220603.xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,1gduhkEBsb7gzktr_7R0yhbTlN2ey_bCA
1,drive#file,1WWr5wn_9_kJiErXY1QeSXmCAxMWdiycO,05-TH-H-3F181F41-20220603.xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,1gduhkEBsb7gzktr_7R0yhbTlN2ey_bCA
2,drive#file,1Y9b0v-m4DidO-K7fc9z3PQsc-EcGJZYd,05-03-40B1D421-20220603.csv,text/csv,1gduhkEBsb7gzktr_7R0yhbTlN2ey_bCA
3,drive#file,1MOx_b3jNluHINoZRTMCg_4mCoKNIUn1x,05-03-40B1D421-20220603.xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,1gduhkEBsb7gzktr_7R0yhbTlN2ey_bCA
4,drive#file,13lGAZneMnpsn837Cap3KBqNv6tRVsfPZ,05-10-40B1D421-20220603.csv,text/csv,1gduhkEBsb7gzktr_7R0yhbTlN2ey_bCA
5,drive#file,1KyP2FQZEQ_O-rYJuNLBQwtNkUCd_BPMJ,05-TH-H-3F181F41-20220603.csv,text/csv,1gduhkEBsb7gzktr_7R0yhbTlN2ey_bCA
6,drive#file,1zxZ7YfWY8la6T6DlFqworYrImziviZrI,05-TH-T-3F181F41-20220603.csv,text/csv,1gduhkEBsb7gzktr_7R0yhbTlN2ey_bCA
7,drive#file,1mEQmizMrIp-Y3QNDO9oz3Im6JTMWXkJK,05-TH-T-3F181F41-20220603.xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,1gduhkEBsb7gzktr_7R0yhbTlN2ey_bCA
0,drive#file,1c4PRfd6v--RiRbnDfpV-rYjap4zbQG6l,45-03-40AE9821-20210726.csv,text/csv,1-oyKVKS9WNLrYDzagD2nYMh7j3MpmO3T
1,drive#file,15_IRVcGMZXmSIIvcF37suJ7g7W_H_tqH,45-10-40C39921-20210726.csv,text/csv,1-oyKVKS9WNLrYDzagD2nYMh7j3MpmO3T
0,drive#file,1faXKjPbkRCxenDpdozA1WlluQrFcgH-n,05-10-408EFA21_20210623.xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,1y30FWx1sdwo0lD3MjVEfnCSE6_qM7LVk
1,drive#file,1c7U4x0-ks9veYzUOlfqs8MnDgm-LvHJK,05-10-408EFA21_20210623.csv,text/csv,1y30FWx1sdwo0lD3MjVEfnCSE6_qM7LVk
2,drive#file,1LQR0jdb2fx0GIZXU68dIAOeF5WAItriT,05-03-40B1D421_20210623.xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,1y30FWx1sdwo0lD3MjVEfnCSE6_qM7LVk
3,drive#file,1wnHLz14J9y2tLAKu-LgHR7pDELJbv3pW,05-03-40B1D421_20210623.csv,text/csv,1y30FWx1sdwo0lD3MjVEfnCSE6_qM7LVk
0,drive#file,1L6dDQEtqPzRj2CI9voopD7vin0PUDUTg,04-08-40BEBB21-20200311.xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,1_MjpOYCBLC2_sXlPP2i8nP62XqJPsBcD
1,drive#file,1UT83AP94m2DFAoe9nOHdCkCDVkAupfIA,04-04-40BEBB21-20210729.xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,1_MjpOYCBLC2_sXlPP2i8nP62XqJPsBcD
0,drive#file,1Oj95-zcsutAabjlNjG6HhX4jpi4Dw6Lx,13-TH-T-ds1923-20210614.xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,1MGDoeVD59v52uSoeXlxx5qJxKRFqf1RG
