,kind,id,name,mimeType,parent_folder
0,drive#file,1s2X8ebtrBeF3gbRIWJrfZ4qpVFbbPT5E,Site 27 - Meelis Pärtel 2021-2022 DATA,application/vnd.google-apps.folder,1LqOU6ZOKz1G4WHwp6u9B_vVKisfCjffw
1,drive#file,1MsiqFnMcDcPjxaYMBMtH_z_dVcLH5HNp,Site 45 - Txema Iriondo 2021-2022 DATA,application/vnd.google-apps.folder,1LqOU6ZOKz1G4WHwp6u9B_vVKisfCjffw
2,drive#file,1gduhkEBsb7gzktr_7R0yhbTlN2ey_bCA,Site 5 - Carlos Alonso-Blanco 2021-2022 DATA,application/vnd.google-apps.folder,1LqOU6ZOKz1G4WHwp6u9B_vVKisfCjffw
0,drive#file,1-oyKVKS9WNLrYDzagD2nYMh7j3MpmO3T,Site 45 - Iriondo 2020-2021 DATA,application/vnd.google-apps.folder,1VuXWAVjx53A4l32hbUkRHLc0XZnCasmb
1,drive#file,1y30FWx1sdwo0lD3MjVEfnCSE6_qM7LVk,Site 5 - Carlos Alonso-Blanco 2020-2021 DATA,application/vnd.google-apps.folder,1VuXWAVjx53A4l32hbUkRHLc0XZnCasmb
2,drive#file,1_MjpOYCBLC2_sXlPP2i8nP62XqJPsBcD,site 4 - Xavier Pico 2020-2021 DATA,application/vnd.google-apps.folder,1VuXWAVjx53A4l32hbUkRHLc0XZnCasmb
3,drive#file,1MGDoeVD59v52uSoeXlxx5qJxKRFqf1RG,Site 13 - Tom Juenger 2020-2021 DATA,application/vnd.google-apps.folder,1VuXWAVjx53A4l32hbUkRHLc0XZnCasmb
4,drive#file,1W6Tk_fR6wZau_gaHlzs7fzCSytq9_J9B,Site 52 - Walter Durka 2020-2021 DATA,application/vnd.google-apps.folder,1VuXWAVjx53A4l32hbUkRHLc0XZnCasmb
5,drive#file,1ZcSDi7ZnyfD5EPeBc8oldq13tHVEULYd,Site 1 Niek Scheepens 2020-2021 DATA,application/vnd.google-apps.folder,1VuXWAVjx53A4l32hbUkRHLc0XZnCasmb
6,drive#file,1Wk0TEg7sICeIuukJs8mkcY-pccOWLedy,Site 46 - Arthur Korte 2020-2021 DATA,application/vnd.google-apps.folder,1VuXWAVjx53A4l32hbUkRHLc0XZnCasmb
7,drive#file,1E6LjUjQi5_6ace1ZBn8Tok3501DKYMad,Site 27 - Meelis Pärtel 2020-2021 DATA,application/vnd.google-apps.folder,1VuXWAVjx53A4l32hbUkRHLc0XZnCasmb
8,drive#file,18doJevgSFpyAtv7VZz2wXRpx68pd8d-6,Site 43 - Panayiotis Dimitrakopoulos 2020-2021 DATA,application/vnd.google-apps.folder,1VuXWAVjx53A4l32hbUkRHLc0XZnCasmb
0,drive#file,1LukHWW9I8p7IPgpky9ZkDZdKoXhKOmdV,Site 58 Jean-Gabriel Valay 2019-2020,application/vnd.google-apps.folder,1f3Jxn4rLXYv6n6M297XRcRNf-N0005PZ
1,drive#file,1srLvEJocDmUG0E5CMO5P_53BDJ9ZPnUP,Site 10 - disturbed - Allison Hutt and Juenger final data,application/vnd.google-apps.folder,1f3Jxn4rLXYv6n6M297XRcRNf-N0005PZ
2,drive#file,1VicbROGacFc1GYS-9ShOTu_5qkdbmqa_,Site 48 Keller,application/vnd.google-apps.folder,1f3Jxn4rLXYv6n6M297XRcRNf-N0005PZ
