,number_flowers_collected,site,plot,date,sampleid,year,month,day,to_skip,source,generation
117,1.0,13,8,2021-03-12,MLFH130820210312,2021,3,12,,samples_records,4
422,1.0,1,1,2020-03-23,MLFH010120200323,2020,3,23,,samples_records,3
426,6.0,1,5,2020-03-23,MLFH010520200323,2020,3,23,,samples_records,3
427,4.0,1,6,2020-03-23,MLFH010620200323,2020,3,23,,samples_records,3
428,44.0,1,7,2020-03-23,MLFH010720200323,2020,3,23,,samples_records,3
430,1.0,1,9,2020-03-23,MLFH010920200323,2020,3,23,,samples_records,3
432,90.0,1,11,2020-03-23,MLFH011120200323,2020,3,23,,samples_records,3
433,5.0,1,12,2020-03-23,MLFH011220200323,2020,3,23,,samples_records,3
434,6.0,1,1,2020-04-06,MLFH010120200406,2020,4,6,,samples_records,3
437,2.0,1,4,2020-04-06,MLFH010420200406,2020,4,6,,samples_records,3
438,35.0,1,5,2020-04-06,MLFH010520200406,2020,4,6,,samples_records,3
439,15.0,1,6,2020-04-06,MLFH010620200406,2020,4,6,,samples_records,3
440,41.0,1,7,2020-04-06,MLFH010720200406,2020,4,6,,samples_records,3
441,7.0,1,8,2020-04-06,MLFH010820200406,2020,4,6,,samples_records,3
442,4.0,1,9,2020-04-06,MLFH010920200406,2020,4,6,,samples_records,3
443,3.0,1,10,2020-04-06,MLFH011020200406,2020,4,6,,samples_records,3
444,100.0,1,11,2020-04-06,MLFH011120200406,2020,4,6,,samples_records,3
445,23.0,1,12,2020-04-06,MLFH011220200406,2020,4,6,,samples_records,3
446,5.0,1,1,2020-04-20,MLFH010120200420,2020,4,20,,samples_records,3
449,6.0,1,4,2020-04-20,MLFH010420200420,2020,4,20,,samples_records,3
450,20.0,1,5,2020-04-20,MLFH010520200420,2020,4,20,,samples_records,3
451,12.0,1,6,2020-04-20,MLFH010620200420,2020,4,20,,samples_records,3
452,10.0,1,7,2020-04-20,MLFH010720200420,2020,4,20,,samples_records,3
453,1.0,1,8,2020-04-20,MLFH010820200420,2020,4,20,,samples_records,3
