CODES,SITE,PLOT,DATE,SAMPLE_ID,NUMBER_FLOWERS_COLLECTED,TO_SKIP,REPLICATES
FH,1,3,20180409,FH-01-03-20180409,20,,
FH,1,3,20180423,FH-01-03-20180423,100,,
FH,1,3,20180507,FH-01-03-20180507,64,,
FH,1,3,20180518,FH-01-03-20180518,45,,
FH,1,4,20180409,FH-01-04-20180409,40,,
FH,1,4,20180423,FH-01-04-20180423,100,,
FH,1,4,20180507,FH-01-04-20180507,71,,
FH,1,4,20180518,FH-01-04-20180518,22,,
FH,1,3,20190401,FH-01-03-20190401,1,,
FH,1,3,20190415,FH-01-03-20190415,27,,
FH,1,3,20190429,FH-01-03-20190429,33,,
FH,1,3,20190513,FH-01-03-20190513,41,,
FH,1,3,20190528,FH-01-03-20190528,15,,
FH,1,4,20190401,FH-01-04-20190401,30,,
FH,1,4,20190415,FH-01-04-20190415,82,,
FH,1,4,20190429,FH-01-04-20190429,28,,
FH,1,4,20190513,FH-01-04-20190513,54,,
FH,1,4,20190528,FH-01-04-20190528,41,,
FH,2,6,20180405,FH-02-06-20180405,7,,
FH,2,6,20180420,FH-02-06-20180420,60,,
FH,2,7,20180405,FH-02-07-20180405,7,,
FH,2,7,20180420,FH-02-07-20180420,32,,
FH,2,6,20190215,FH-02-06-20190215,3,,
FH,2,7,20190221,FH-02-07-20190221,12,,
FH,4,3,20180306,FH-04-03-20180306,100,,
FH,4,3,20180321,FH-04-03-20180321,100,,
FH,4,4,20180306,FH-04-04-20180306,100,,
FH,4,4,20180321,FH-04-04-20180321,100,,
FH,4,3,20190208,FH-04-03-20190208,40,,
FH,4,3,20190221,FH-04-03-20190221,55,,
FH,5,3,20180411,FH-05-03-20180411,101,,
FH,5,3,20180426,FH-05-03-20180426,101,,
FH,5,4,20180411,FH-05-04-20180411,101,,
FH,5,4,20180426,FH-05-04-20180426,101,,
FH,5,3,20190312,FH-05-03-20190312,30,,
FH,5,4,20190312,FH-05-04-20190312,26,,
FH,6,3,20180328,FH-06-03-20180328,76,,
FH,6,3,20180412,FH-06-03-20180412,89,,
FH,6,3,20180425,FH-06-03-20180425,38,,
FH,6,4,20180328,FH-06-04-20180328,64,True,
FH,6,4,20180412,FH-06-04-20180412,75,True,
