Measurement,Site,Plot,Date,Transect,Individual,Record_id,Number of siliques counted per plant,Comments
Silique_count,1,1,20180604,1,1,SC-01-1-1-1-20180604,11,1=diagonal
Silique_count,1,1,20180604,1,2,SC-01-1-1-2-20180604,30,
Silique_count,1,1,20180604,1,3,SC-01-1-1-3-20180604,74,
Silique_count,1,1,20180604,1,4,SC-01-1-1-4-20180604,182,
Silique_count,1,1,20180604,1,5,SC-01-1-1-5-20180604,12,
Silique_count,1,1,20180604,2,1,SC-01-1-2-1-20180604,4,2=off-diagonal
Silique_count,1,1,20180604,2,2,SC-01-1-2-2-20180604,10,
Silique_count,1,1,20180604,2,3,SC-01-1-2-3-20180604,14,
Silique_count,1,1,20180604,2,4,SC-01-1-2-4-20180604,170,
Silique_count,1,1,20180604,2,5,SC-01-1-2-5-20180604,44,
Silique_count,1,2,20180604,1,1,SC-01-2-1-1-20180604,209,
Silique_count,1,2,20180604,1,2,SC-01-2-1-2-20180604,20,
Silique_count,1,2,20180604,1,3,SC-01-2-1-3-20180604,106,
Silique_count,1,2,20180604,1,4,SC-01-2-1-4-20180604,163,
Silique_count,1,2,20180604,1,5,SC-01-2-1-5-20180604,32,
Silique_count,1,2,20180604,1,6,SC-01-2-1-6-20180604,77,
Silique_count,1,2,20180604,2,1,SC-01-2-2-1-20180604,88,
Silique_count,1,2,20180604,2,2,SC-01-2-2-2-20180604,8,
Silique_count,1,2,20180604,2,3,SC-01-2-2-3-20180604,28,
Silique_count,1,2,20180604,2,4,SC-01-2-2-4-20180604,100,
Silique_count,1,2,20180604,2,5,SC-01-2-2-5-20180604,34,
Silique_count,1,3,20180604,1,1,SC-01-3-1-1-20180604,244,
Silique_count,1,3,20180604,1,2,SC-01-3-1-2-20180604,231,
Silique_count,1,3,20180604,1,3,SC-01-3-1-3-20180604,154,
Silique_count,1,3,20180604,1,4,SC-01-3-1-4-20180604,191,
Silique_count,1,3,20180604,1,5,SC-01-3-1-5-20180604,58,
Silique_count,1,3,20180604,1,6,SC-01-3-1-6-20180604,252,
Silique_count,1,3,20180604,2,1,SC-01-3-2-1-20180604,785,
Silique_count,1,3,20180604,2,2,SC-01-3-2-2-20180604,93,
Silique_count,1,3,20180604,2,3,SC-01-3-2-3-20180604,9,
Silique_count,1,3,20180604,2,4,SC-01-3-2-4-20180604,70,
Silique_count,1,4,20180604,1,1,SC-01-4-1-1-20180604,35,
Silique_count,1,4,20180604,1,2,SC-01-4-1-2-20180604,105,
Silique_count,1,4,20180604,1,3,SC-01-4-1-3-20180604,405,
Silique_count,1,4,20180604,1,4,SC-01-4-1-4-20180604,4,
Silique_count,1,4,20180604,1,5,SC-01-4-1-5-20180604,112,
Silique_count,1,4,20180604,1,6,SC-01-4-1-6-20180604,85,
Silique_count,1,4,20180604,1,7,SC-01-4-1-7-20180604,116,
Silique_count,1,4,20180604,2,1,SC-01-4-2-1-20180604,87,
Silique_count,1,4,20180604,2,2,SC-01-4-2-2-20180604,49,
Silique_count,1,4,20180604,2,3,SC-01-4-2-3-20180604,213,
Silique_count,1,4,20180604,2,4,SC-01-4-2-4-20180604,95,
Silique_count,1,4,20180604,2,5,SC-01-4-2-5-20180604,84,
Silique_count,1,4,20180604,2,6,SC-01-4-2-6-20180604,131,
Silique_count,1,4,20180604,2,7,SC-01-4-2-7-20180604,144,
Silique_count,1,4,20180604,2,8,SC-01-4-2-8-20180604,48,
Silique_count,1,5,20180604,1,1,SC-01-5-1-1-20180604,26,
Silique_count,1,5,20180604,1,2,SC-01-5-1-2-20180604,12,
Silique_count,1,5,20180604,1,3,SC-01-5-1-3-20180604,51,
Silique_count,1,5,20180604,1,4,SC-01-5-1-4-20180604,64,
Silique_count,1,5,20180604,1,5,SC-01-5-1-5-20180604,12,
Silique_count,1,5,20180604,1,6,SC-01-5-1-6-20180604,173,
Silique_count,1,5,20180604,2,1,SC-01-5-2-1-20180604,127,
Silique_count,1,5,20180604,2,2,SC-01-5-2-2-20180604,22,
Silique_count,1,5,20180604,2,3,SC-01-5-2-3-20180604,93,
Silique_count,1,5,20180604,2,4,SC-01-5-2-4-20180604,58,
Silique_count,1,5,20180604,2,5,SC-01-5-2-5-20180604,153,
Silique_count,1,5,20180604,2,6,SC-01-5-2-6-20180604,5,
Silique_count,1,5,20180604,2,7,SC-01-5-2-7-20180604,22,
Silique_count,1,6,20180604,1,1,SC-01-6-1-1-20180604,88,
Silique_count,1,6,20180604,1,2,SC-01-6-1-2-20180604,379,
Silique_count,1,6,20180604,1,3,SC-01-6-1-3-20180604,10,
Silique_count,1,6,20180604,1,4,SC-01-6-1-4-20180604,66,
Silique_count,1,6,20180604,1,5,SC-01-6-1-5-20180604,12,
Silique_count,1,6,20180604,1,6,SC-01-6-1-6-20180604,21,
Silique_count,1,6,20180604,1,7,SC-01-6-1-7-20180604,37,
Silique_count,1,6,20180604,1,8,SC-01-6-1-8-20180604,156,
Silique_count,1,6,20180604,1,9,SC-01-6-1-9-20180604,73,
Silique_count,1,6,20180604,1,10,SC-01-6-1-10-20180604,396,
Silique_count,1,6,20180604,2,1,SC-01-6-2-1-20180604,129,
Silique_count,1,6,20180604,2,2,SC-01-6-2-2-20180604,44,
Silique_count,1,6,20180604,2,3,SC-01-6-2-3-20180604,159,
Silique_count,1,6,20180604,2,4,SC-01-6-2-4-20180604,34,
Silique_count,1,6,20180604,2,5,SC-01-6-2-5-20180604,41,
Silique_count,1,6,20180604,2,6,SC-01-6-2-6-20180604,6,
Silique_count,1,6,20180604,2,7,SC-01-6-2-7-20180604,28,
Silique_count,1,6,20180604,2,8,SC-01-6-2-8-20180604,498,
Silique_count,1,7,20180611,1,1,SC-01-7-1-1-20180611,436,Continued one week later from here
Silique_count,1,7,20180611,1,2,SC-01-7-1-2-20180611,28,
Silique_count,1,7,20180611,1,3,SC-01-7-1-3-20180611,190,
Silique_count,1,7,20180611,1,4,SC-01-7-1-4-20180611,70,
Silique_count,1,7,20180611,1,5,SC-01-7-1-5-20180611,535,
Silique_count,1,7,20180611,1,6,SC-01-7-1-6-20180611,66,
Silique_count,1,7,20180611,1,7,SC-01-7-1-7-20180611,455,
Silique_count,1,7,20180611,1,8,SC-01-7-1-8-20180611,145,
Silique_count,1,7,20180611,1,9,SC-01-7-1-9-20180611,536,
Silique_count,1,7,20180611,2,1,SC-01-7-2-1-20180611,80,
Silique_count,1,7,20180611,2,2,SC-01-7-2-2-20180611,37,
Silique_count,1,7,20180611,2,3,SC-01-7-2-3-20180611,17,
Silique_count,1,7,20180611,2,4,SC-01-7-2-4-20180611,375,
Silique_count,1,7,20180611,2,5,SC-01-7-2-5-20180611,114,
Silique_count,1,7,20180611,2,6,SC-01-7-2-6-20180611,201,
Silique_count,1,7,20180611,2,7,SC-01-7-2-7-20180611,158,
Silique_count,1,7,20180611,2,8,SC-01-7-2-8-20180611,226,
Silique_count,1,7,20180611,2,9,SC-01-7-2-9-20180611,97,
Silique_count,1,7,20180611,2,10,SC-01-7-2-10-20180611,538,
Silique_count,1,8,20180611,1,1,SC-01-8-1-1-20180611,33,
Silique_count,1,8,20180611,1,2,SC-01-8-1-2-20180611,183,
Silique_count,1,8,20180611,1,3,SC-01-8-1-3-20180611,221,
Silique_count,1,8,20180611,1,4,SC-01-8-1-4-20180611,68,
Silique_count,1,8,20180611,1,5,SC-01-8-1-5-20180611,248,
Silique_count,1,8,20180611,1,6,SC-01-8-1-6-20180611,49,
Silique_count,1,8,20180611,1,7,SC-01-8-1-7-20180611,124,
Silique_count,1,8,20180611,1,8,SC-01-8-1-8-20180611,53,
Silique_count,1,8,20180611,1,9,SC-01-8-1-9-20180611,80,
Silique_count,1,8,20180611,1,10,SC-01-8-1-10-20180611,157,
Silique_count,1,8,20180611,2,1,SC-01-8-2-1-20180611,175,
Silique_count,1,8,20180611,2,2,SC-01-8-2-2-20180611,12,
Silique_count,1,8,20180611,2,3,SC-01-8-2-3-20180611,109,
Silique_count,1,8,20180611,2,4,SC-01-8-2-4-20180611,46,
Silique_count,1,8,20180611,2,5,SC-01-8-2-5-20180611,224,
Silique_count,1,8,20180611,2,6,SC-01-8-2-6-20180611,163,
Silique_count,1,8,20180611,2,7,SC-01-8-2-7-20180611,26,
Silique_count,1,8,20180611,2,8,SC-01-8-2-8-20180611,7,
Silique_count,1,8,20180611,2,9,SC-01-8-2-9-20180611,86,
Silique_count,1,8,20180611,2,10,SC-01-8-2-10-20180611,665,
Silique_count,1,9,20180611,1,1,SC-01-9-1-1-20180611,35,
Silique_count,1,9,20180611,1,2,SC-01-9-1-2-20180611,246,
Silique_count,1,9,20180611,1,3,SC-01-9-1-3-20180611,229,
Silique_count,1,9,20180611,1,4,SC-01-9-1-4-20180611,53,
Silique_count,1,9,20180611,1,5,SC-01-9-1-5-20180611,6,
Silique_count,1,9,20180611,1,6,SC-01-9-1-6-20180611,36,
Silique_count,1,9,20180611,2,1,SC-01-9-2-1-20180611,3,
Silique_count,1,9,20180611,2,2,SC-01-9-2-2-20180611,137,
Silique_count,1,9,20180611,2,3,SC-01-9-2-3-20180611,239,
Silique_count,1,10,20180611,1,1,SC-01-10-1-1-20180611,134,
Silique_count,1,10,20180611,1,2,SC-01-10-1-2-20180611,5,
Silique_count,1,10,20180611,1,3,SC-01-10-1-3-20180611,101,
Silique_count,1,10,20180611,1,4,SC-01-10-1-4-20180611,51,
Silique_count,1,10,20180611,1,5,SC-01-10-1-5-20180611,3,
Silique_count,1,10,20180611,1,6,SC-01-10-1-6-20180611,94,
Silique_count,1,10,20180611,1,7,SC-01-10-1-7-20180611,11,
Silique_count,1,10,20180611,1,8,SC-01-10-1-8-20180611,62,
Silique_count,1,10,20180611,1,9,SC-01-10-1-9-20180611,166,
Silique_count,1,10,20180611,1,10,SC-01-10-1-10-20180611,20,
Silique_count,1,10,20180611,1,11,SC-01-10-1-11-20180611,34,
Silique_count,1,10,20180611,1,12,SC-01-10-1-12-20180611,20,
Silique_count,1,10,20180611,1,13,SC-01-10-1-13-20180611,7,
Silique_count,1,10,20180611,2,1,SC-01-10-2-1-20180611,267,
Silique_count,1,10,20180611,2,2,SC-01-10-2-2-20180611,120,
Silique_count,1,10,20180611,2,3,SC-01-10-2-3-20180611,29,
Silique_count,1,10,20180611,2,4,SC-01-10-2-4-20180611,36,
Silique_count,1,10,20180611,2,5,SC-01-10-2-5-20180611,155,
Silique_count,1,11,20180611,1,1,SC-01-11-1-1-20180611,8,
Silique_count,1,11,20180611,1,2,SC-01-11-1-2-20180611,37,
Silique_count,1,11,20180611,1,3,SC-01-11-1-3-20180611,240,
Silique_count,1,11,20180611,1,4,SC-01-11-1-4-20180611,6,
Silique_count,1,11,20180611,1,5,SC-01-11-1-5-20180611,5,
Silique_count,1,11,20180611,1,6,SC-01-11-1-6-20180611,60,
Silique_count,1,11,20180611,1,7,SC-01-11-1-7-20180611,302,
Silique_count,1,11,20180611,1,8,SC-01-11-1-8-20180611,376,
Silique_count,1,11,20180611,1,9,SC-01-11-1-9-20180611,46,
Silique_count,1,11,20180611,1,10,SC-01-11-1-10-20180611,126,
Silique_count,1,11,20180611,1,11,SC-01-11-1-11-20180611,78,
Silique_count,1,11,20180611,1,12,SC-01-11-1-12-20180611,33,
Silique_count,1,11,20180611,1,13,SC-01-11-1-13-20180611,212,
Silique_count,1,11,20180611,2,1,SC-01-11-2-1-20180611,3,
Silique_count,1,11,20180611,2,2,SC-01-11-2-2-20180611,7,
Silique_count,1,11,20180611,2,3,SC-01-11-2-3-20180611,65,
Silique_count,1,11,20180611,2,4,SC-01-11-2-4-20180611,75,
Silique_count,1,11,20180611,2,5,SC-01-11-2-5-20180611,101,
Silique_count,1,11,20180611,2,6,SC-01-11-2-6-20180611,8,
Silique_count,1,11,20180611,2,7,SC-01-11-2-7-20180611,6,
Silique_count,1,11,20180611,2,8,SC-01-11-2-8-20180611,9,
Silique_count,1,11,20180611,2,9,SC-01-11-2-9-20180611,26,
Silique_count,1,11,20180611,2,10,SC-01-11-2-10-20180611,109,
Silique_count,1,12,20180611,1,1,SC-01-12-1-1-20180611,36,
Silique_count,1,12,20180611,1,2,SC-01-12-1-2-20180611,59,
Silique_count,1,12,20180611,1,3,SC-01-12-1-3-20180611,18,
Silique_count,1,12,20180611,1,4,SC-01-12-1-4-20180611,156,
Silique_count,1,12,20180611,1,5,SC-01-12-1-5-20180611,12,
Silique_count,1,12,20180611,1,6,SC-01-12-1-6-20180611,38,
Silique_count,1,12,20180611,1,7,SC-01-12-1-7-20180611,69,
