SITE_NAME	LONGITUDE	LATITUDE
Botanical Garden of the University of TŸbingen	48.541492	9.034098
Experimental field of the Center for Functional and Evolutionary Ecology (CNRS)	43.637546	3.862563
Greenhouse of the Max Planck Institute for Developmental Biology	48.536012	9.057469
Queen's University	-76.4951412	44.2252795
"El Castillejo Botanical Garden, Grazalema National Park"	-5.4976326	36.7658248
National Center of Biotechnology (CNB-CSIC)	-3.69018	40.544571
Center for Ecological and Forest Applications Research	2.1093979	41.5008369
University of Chicago	-87.5987133	41.7886079
Sweden - location to be determined	13.8059302	55.730089
Fordham University	-73.8856987	40.8620404
University of Texas at Austin	-97.7340567	30.2849185
		
		
		
		
		
		
		
		
		
"La Cortijuela Botanical Garden, Sierra Nevada National Park"	-3.1378173	37.0416164
?	-3.1378173	37.0416164
Laboratory of Plant-Microbe Interactions (INRA)	1.501628	43.5257166
University of Minnesota	-93.2277285	44.97399
"Brixen im Thale, Alps"	12.2513095	47.4497732
		
Ben-Gurion University of the Negev	34.7809929	30.8572069
Private garden in Tartu	26.3540068	58.2590013
Duke University	-78.9382286	36.0014258
Penn State University	-77.8605366	40.8008972
Hanzehogeschool Groningen	6.5326166	53.2412578
University of Tel Aviv	34.8059428	32.1147942
Institute of Advanced Studies of the Mediterranean	2.5808832	39.6665263
high Martigny Swiss Alps	6.5769321	46.5208763
low Martigny Swiss Alps	7.069707	46.117411
University of Bath	-2.3272635	51.3781162
University of Nottingham	-1.1951582	52.938636
"Skjellingahaugen, Norway"	6.4144941	60.9336953
"Ovstedalen, Norway"	5.9648859	60.690015
"Ulvehaugen, Norway"	8.1233492	61.0240482
"Fauske, Norway"	9.0784845	61.0352824
Pruhonice	14.5603064	50.0017145
University of Warsaw	20.9867942	52.2133854
Lesbos Island	26.5687477	39.0848818
"Mittuniversitetet, Campus Sundsvall"	17.2842162	62.3946271
Universidad Rey Juan Carlos		
		
		
		
		
		
		
		
		
		
		
		
