id	dataset	country	commonname	cs	longitude	latitude
159	1001G_RegMap	FRA	MAR2-3	CS77070	3.93333	47.35
265	1001G	FRA	PYL-6	CS77198	-1.16667	44.65
763	1001G	KGZ	Kar-1	CS76522	74.3667	42.3
765	1001G	KGZ	Sus-1	CS76607	73.4	42.1833
766	1001G	KGZ	Dja-1	CS76473	73.6333	42.5833
768	1001G	KGZ	Zal-1	CS76634	76.35	42.8
772	1001G	TJK	Neo-6	CS76560	72.4667	37.35
5151	1001G	UK	UKSE06-325	CS78801	-1.7	52.2
5165	1001G	UK	UKSE06-362	CS78802	0.4	51.3
5768	1001G	UK	UKID63	CS78786	-1.5	54.1
5772	1001G_RegMap	UK	Set-1	CS78787	-2.3	54.1
5784	1001G_RegMap	UK	Ty-1	CS78790	-5.2	56.4
5811	1001G	UK	UKID107	CS78778	-3.1	52.9
6013	1001G_RegMap	SWE	Eden-9	CS76830	18.177	62.877
6025	1001G_RegMap	SWE	Gro-3	CS76889	17.7339	62.6437
6040	1001G_RegMap	SWE	Kni-1	CS76970	13.4	55.66
6073	1001G_RegMap	SWE	ÖMö1-7	CS77147	15.8155	56.1481
6074	1001G_RegMap	SWE	Ör-1	CS77150	16.1408	56.4573
6108	1001G_RegMap	SWE	T480	CS77300	13.1206	55.7989
6150	1001G_RegMap	SWE	T980	CS77327	13.5319	55.9261
6177	1001G_RegMap	SWE	TÄL	03	CS77338	17.69
6180	1001G_RegMap	SWE	TÄL	07	CS77339	17.6906
6184	1001G_RegMap	SWE	TBÖ	01	CS77343	18.4522
6188	1001G_RegMap	SWE	TDr-1	CS77345	14.1386	55.7683
6195	1001G_RegMap	SWE	TDr-9	CS77356	14.1342	55.7708
6209	1001G_RegMap	SWE	TEDEN	02	CS77358	18.1842
6216	1001G_RegMap	SWE	TFÄ	06	CS77362	18.3283
6243	1001G_RegMap	SWE	Tottarp-2	CS77381	13.90045	56.27373
6244	1001G_RegMap	SWE	TRÄ	01	CS77384	18.4728
6898	1001G_RegMap	BEL	An-1	CS76435_CS22626	4.4	51.2167
6911	1001G_RegMap	CPV	Cvi-0	CS76789_CS22614	-23.6167	15.1111
6915	1001G_RegMap	GER	Ei-2	CS76478_CS22616	6.3	50.3
6929	1001G_RegMap	TJK	Kondara	CS76532_CS22651	68.49	38.48
6932	1001G_RegMap	GER	Ler-1	CS77021_CS22618	10.8719	47.984
6938	1001G_RegMap	RUS	Ms-0	CS76555_CS22655	37.6322	55.7522
6939	RegMap	LIB	Mt-0	CS22642	22.46	32.34
6940	1001G_RegMap	GER	Mz-0	CS76557_CS22636	8.3	50.3
6945	1001G_RegMap	NED	Nok-3	CS76562_CS22643	4.45	52.24
6958	1001G_RegMap	FRA	Ra-0	CS76582_CS22632	3.3	46
6961	1001G_RegMap	ESP	Se-0	CS76597_CS22646	-3.53333	38.3333
6963	1001G_RegMap	TJK	Sorbo	CS78917_CS22653	68.48	38.35
6979	1001G_RegMap	SUI	Wei-0	CS76628_CS22622	8.26	47.25
6987	1001G_RegMap	GER	Ak-1	CS76431_CS6602	7.62551	48.0683
7000	1001G_RegMap	GER	Aa-0	CS76428_CS6600	9.57073	50.9167
7002	1001G_RegMap	NED	Baa-1	CS76442_CS22529	6.1	51.3333
7003	1001G	SUI	Bs-1	CS78888	7.5	47.5
7008	1001G_RegMap	NED	Benk-1	CS76447_CS22530	5.675	52
7013	1001G_RegMap	GER	Bd-0	CS76445_CS6612	13.287	52.4584
7025	1001G	ITA	Bl-1	CS76450	11.3396	44.5041
7028	1001G_RegMap	GER	Bch-1	CS76444_CS6609	9.3166	49.5166
7031	1001G_RegMap	GER	Bsch-0	CS76457_CS6630	8.6667	50.0167
7036	1001G	GER	Bu-0	CS78889	9.5	50.5
7062	1001G_RegMap	GER	Ca-0	CS76459_CS6658	8.26607	50.2981
7063	1001G	ESP	Can-0	CS76740	-13.4811	29.2144
7067	1001G	ITA	Ct-1	CS76786	15	37.3
7071	1001G_RegMap	FRA	Chat-1	CS76463_CS22521	1.33867	48.0717
7077	1001G	POR	Co-1	CS76468	-8.25	40.12
7092	1001G_RegMap	FRA	Com-1	CS76469_CS22522	2.823	49.416
7103	1001G	CZE	Dra-0	CS76476	16.2667	49.4167
7106	1001G_RegMap	GER	Dr-0	CS78897_CS6684	13.7336	51.051
7125	1001G	GER	Er-0	CS78898	11.0087	49.5955
7126	1001G_RegMap	FIN	Es-0	CS76484_CS6699	24.5682	60.1997
7127	1001G	EST	Est	CS76485	24.9871	58.6656
7143	1001G_RegMap	NED	Gel-1	CS76492_CS22533	5.86667	51.0167
7164	1001G_RegMap	DEN	Hau-0	CS76915_CS6734	12.5686	55.675
7165	1001G_RegMap	GER	Hn-0	CS76513_CS6739	8.28844	51.3472
7186	1001G_RegMap	LTU	Kn-0	CS76969_CS6762	23.8924	54.8969
7203	1001G	GER	Krot-0	CS76534	11.5722	49.631
7209	1001G	POL	La-0	CS76538	15.2333	52.7333
7217	1001G	FRA	Lm-2	CS76545	0.5	48
7218	1001G	NED	Le-0	CS76540	4.49015	52.1611
7244	1001G_RegMap	GER	Mnz-0	CS76552_CS6794	8.26664	50.001
7255	1001G_RegMap	GER	Mh-0	CS76550_CS6792	7.5	50.95
7268	1001G_RegMap	GER	Np-0	CS76563_CS6806	10.981	52.6969
7273	1001G	GER	No-0	CS77128	13.2995	51.0581
7276	1001G_RegMap	GER	Ob-0	CS76566_CS6816	8.5833	50.2
7282	1001G_RegMap	GER	Or-0	CS76568_CS6822	8.01161	50.3827
7287	1001G_RegMap	GER	Ove-0	CS76569_CS6823	8.42255	53.3422
7288	1001G	NOR	Oy-0	CS77156	6.193019	60.385543
7296	1001G_RegMap	RUS	Petergof	CS77170_CS926	29	59
7298	1001G	AUT	Pi-0	CS76572	10.51	47.04
7316	1001G_RegMap	NED	Rhen-1	CS78916_CS22536	5.56667	51.9667
7323	1001G_RegMap	UKR	Rubezhnoe-1	CS76594_CS927	38.28	49
7333	1001G_RegMap	ITA	Sei-0	CS76599_CS6853	11.5614	46.5438
7346	1001G_RegMap	GER	Sten-0_Ste-0	CS77277_CS6864	11.8558	52.6058
7347	1001G	RUS	Stw-0	CS76605	36	52
7353	1001G_RegMap	NED	Tha-1	CS76611_CS22537	4.3	52.08
7372	1001G_RegMap	AUT	Tscha-1	CS76616_CS22518	9.9042	47.0748
7378	1001G_RegMap	GER	Uk-1	CS76620_CS6879	7.7667	48.0333
7384	1001G_RegMap	NED	Ven-1	CS76624_CS22538	5.55	52.0333
7394	1001G_RegMap	POL	Wa-1	CS76626_CS6885	21	52.3
7404	1001G_RegMap	GER	Wc-1	CS76627_CS6886	10.0667	52.6
7411	1001G_RegMap	GER	Wl-0	CS76630_CS6920	10.8134	47.9299
7521	1001G_RegMap	CZE	Lp2-6	CS77052_CS22595	16.81	49.38
8214	1001G_RegMap	FRA	Gy-0	CS78901_CS22631	2	49
