ID	name	country	weight_put_on_master_mix..g.	estimated.number.of.seeds.in.total
159	MAR2-3	FRA	0.3004	16638
265	PYL-6	FRA	0.325	18000
763	Kar-1	KGZ	0.1827	10119
765	Sus-1	KGZ	0.2994	16582
766	Dja-1	KGZ	0.3004	16638
768	Zal-1	KGZ	0.3099	17164
772	Neo-6	TJK	0.3091	17120
5151	UKSE06-325	UK	0.2959	16389
5165	UKSE06-362	UK	0.3171	17563
5768	UKID63	UK	0.3076	17037
5772	Set-1	UK	0.3059	16942
5784	Ty-1	UK	0.3011	16677
5811	UKID107	UK	0.3194	17690
6013	Eden-9	SWE	0.2985	16533
6025	Gro-3	SWE	0.2282	12639
6040	Kni-1	SWE	0.3056	16926
6073	OMo1-7	SWE	0.1625	9000
6074	Or-1	SWE	0.2099	11625
6108	T480	SWE	0.3043	16854
6150	T980	SWE	0.2899	16056
6177	TAL	SWE	0.3388	18765
6180	TAL 07	SWE	0.2993	16577
6184	TBO	SWE	0.3013	16688
6188	TDr-1	SWE	0.2983	16522
6195	TDr-9	SWE	0.31	17170
6209	TEDEN	SWE	0.3003	16632
6216	TFA	SWE	0.3043	16854
6243	Tottarp-2	SWE	0.3053	16909
6244	TRA 01	SWE	0.3166	17535
6898	An-1	BEL	0.304	16837
6911	Cvi-0	CPV	0.2999	16610
6915	Ei-2	GER	0.3037	16821
6929	Kondara	TJK	0.3001	16621
6932	Ler-1	GER	0.1915	10606
6938	Ms-0	RUS	0.2984	16527
6939	Mt-0	LIB	0.3065	16976
6940	Mz-0	GER	0.3181	17618
6945	Nok-3	NED	0.3009	16666
6958	Ra-0	FRA	0.303	16782
6961	Se-0	ESP	0.3027	16765
6963	Sorbo	TJK	0.3031	16787
6979	Wei-0	SUI	0.3018	16715
6987	Ak-1	GER	0.3034	16804
7000	Aa-0	GER	0.2086	11553
7002	Baa-1	NED	0.3011	16677
7003	Bs-1	SUI	0.3029	16776
7008	Benk-1	NED	0.3019	16721
7013	Bd-0	GER	0.3016	16704
7025	Bl-1	ITA	0.3065	16976
7028	Bch-1	GER	0.2962	16405
7031	Bsch-0	GER	0.3021	16732
7036	Bu-0	GER	0.305	16893
7062	Ca-0	GER	0.3017	16710
7063	Can-0	ESP	0.2978	16494
7067	Ct-1	ITA	0.2982	16516
7071	Chat-1	FRA	0.3195	17696
7077	Co-1	POR	0.3015	16699
7092	Com-1	FRA	0.309	17114
7103	Dra-0	CZE	0.3017	16710
7106	Dr-0	GER	0.3138	17380
7125	Er-0	GER	0.3083	17075
7126	Es-0	FIN	0.3204	17746
7127	Est	GER	0.2984	16527
7143	Gel-1	NED	0.3164	17524
7164	Hau-0	DEN	0.2087	11559
7165	Hn-0	GER	0.295	16339
7186	Kn-0	LTU	0.3477	19258
7203	Krot-0	GER	0.303	16782
7209	La-0	POL	0.3033	16798
7217	Lm-2	FRA	0.3011	16677
7218	Le-0	NED	0.3067	16987
7244	Mnz-0	GER	0.2996	16594
7255	Mh-0	POL	0.302	16726
7268	Np-0	GER	0.301	16671
7273	No-0	GER	0.3157	17485
7276	Ob-0	GER	0.306	16948
7282	Or-0	GER	0.3059	16942
7287	Ove-0	GER	0.3031	16787
7288	Oy-0	NOR	0.3082	17070
