site,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19
1,10.7439056875,21.1939237916667,47.6881713214103,716.659941767217,32.801716,-11.641011,44.442727,2.11103305,11.4854057333333,19.9259335,2.11103305,856.388686,105.54803,36.146984,32.0174104268994,286.4564,147.922504,215.184498,286.4564
10,20.5509234475,22.7611842716667,54.8758754721965,744.70581984508,40.310047,-1.1675314,41.4775784,20.1672340416667,30.2065966666667,30.2065966666667,12.2765621983333,939.271974,159.55263,25.814154,46.8808944127818,313.07915,150.708939,150.708939,203.61552
11,13.8013959575,25.6453772516667,47.496360505624,985.967318889745,36.411205,-17.5832,53.994405,23.657729,2.96657483333333,25.6049826666667,2.084388,1168.178508,142.93152,59.314957,24.207087297742,372.932436,218.528357,340.055276,224.179517
12,12.9571620166667,23.8312084666667,47.4914780070539,900.202017072143,35.26407,-14.915898,50.179968,8.6496971,3.2287065,23.9643926666667,2.2243695,1338.274136,142.43004,83.58399,15.6258896088054,372.65551,291.870056,351.05632,331.44817
13,20.4127104883333,22.83694969,54.8806704462598,743.7300221144,40.201202,-1.4108073,41.6120093,20.0035162266667,30.0641955,30.0641955,12.1835021433333,932.125019,159.39058,24.752518,47.2765419409649,310.55944,145.98069,145.98069,203.234599
19,12.3569648,19.8298692333333,51.0894572255912,752.550022635433,33.836872,-4.9771423,38.8140143,4.02388845,15.9524256,22.2498003333333,3.77140808333333,537.731991,63.437153,23.765,26.665398934093,167.553593,94.539963,132.825101,159.741032
2,15.59462670375,17.9260630925,50.2317663925312,670.660847265523,35.451294,-0.2354126,35.6867066,15.64008055,24.6410966666667,24.6410966666667,8.23589933166667,1006.309271,174.7696,16.295685,54.3739215594493,403.75655,114.316735,114.316735,219.58164
20,12.6647491625,20.006339175,55.8324512089552,621.039880994085,31.999655,-3.8331604,35.8328154,10.0639918833333,21.31568745,21.31568745,6.51004716666667,655.160445,122.477684,10.702535,63.3656807686778,286.13309,57.440415,57.440415,93.77505
21,11.5340190805667,20.3216763388667,56.2246443520645,627.696298910414,31.06076,-5.082957,36.143717,8.75426236666667,20.2360737833333,20.2360737833333,5.346366,680.773405,139.75237,9.200673,68.4795943578108,305.33153,41.752981,41.752981,117.06674
23,7.290877075,27.3391545166667,43.3327739576535,1331.94872282875,33.337524,-29.753647,63.091171,21.2036724666667,-10.345515,22.62905525,-10.345515,964.24576,128.9525,31.851793,42.9859226924176,348.138714,118.724241,321.477954,118.724241
24,6.00886075833333,23.95301415,52.1245981715512,791.646863553919,27.792023,-18.161356,45.953379,13.8385314666667,0.459855833333334,15.9600069,-3.9077335,1830.667175,226.47456,75.61053,33.2626956347084,617.28484,306.824645,609.89376,427.08594
25,11.3935151425,20.5640840483333,47.8101178116404,737.778332095198,32.08911,-10.922882,43.011992,20.6457785,6.43304945333333,20.6457785,2.15893066666667,963.723995,119.96127,30.828964,35.636377489615,319.0311,162.448899,319.0311,253.998926
26,21.6033558083333,21.3966173833333,58.8986424800591,582.192910722535,40.082653,3.7547913,36.3278617,15.2439505666667,27.6573088333333,28.0124405,14.0363413,129.72878546,32.068897,0.3712525,90.4496001627605,78.963735,1.78517036,1.83476316,55.77373
27,7.42514504583333,18.5077625083333,44.0761463739625,858.37132582457,27.900482,-14.089946,41.990428,17.905199,6.1261665,17.905199,-2.93430411666667,661.96224,80.47753,39.14117,22.9020263916654,197.685372,128.81988,197.685372,147.567292
28,16.8683085291667,23.012073775,54.2866989830333,733.057822411133,35.07071,-7.3191833,42.3898933,25.2926605,9.39261543333333,25.6664495,8.20939966666667,1460.590641,149.48602,102.100655,12.524702387609,401.20028,337.684375,379.768476,367.53318
3,8.09141033333333,23.0366531166667,40.765089843043,1166.31422398603,33.48485,-23.025888,56.510738,3.7234937,19.3704882666667,21.8373511666667,-6.01013155,1120.0829,136.03888,65.94911,24.6605104468082,318.27663,226.88828,253.99522,266.885034
30,11.8021706695833,17.6151616608333,51.7680526542397,638.342445130709,31.058187,-2.9689026,34.0270896,16.701504,10.1812354383333,20.217782,4.61850495666667,790.484454,80.082054,35.61945,20.9487601006699,234.983044,159.92654,210.404014,215.84776
32,17.8151688958333,11.195567375,42.7458258687835,567.72798418854,32.260223,6.069204,26.191019,18.9425965,25.2971118333333,25.2971118333333,11.6088663333333,515.237401,87.64719,3.652293,56.467720003606,220.687889,40.064172,40.064172,128.905082
33,12.1987028595833,16.8967309475,46.7737616956682,672.545486560515,31.781158,-4.343221,36.124379,4.11663805,20.12805345,21.083635,4.11663805,1319.238525,176.57137,60.312954,28.6005641371111,417.89619,259.18083,294.884055,417.89619
