,site,plot,date,diagonalplantnumber,offdiagonalplantnumber,totalplantnumber,meanfruitsperplant,sdfruitsperplant,comments,censusid,year,month,generation,sum_diagonal_off_diag,flowering_plants
0,55,1,2022-04-12,,,0.0,,,,550120220412,2022,4,5,,
1,55,2,2022-04-12,,,1.0,,,,550220220412,2022,4,5,,
2,55,3,2022-04-12,,,0.0,,,,550320220412,2022,4,5,,
3,55,4,2022-04-12,,,2.0,,,,550420220412,2022,4,5,,
4,55,5,2022-04-12,,,2.0,,,,550520220412,2022,4,5,,
5,55,6,2022-04-12,,,0.0,,,,550620220412,2022,4,5,,
6,55,7,2022-04-12,,,11.0,,,,550720220412,2022,4,5,,
7,55,8,2022-04-12,,,0.0,,,,550820220412,2022,4,5,,
8,55,9,2022-04-12,,,0.0,,,,550920220412,2022,4,5,,
9,55,10,2022-04-12,,,0.0,,,,551020220412,2022,4,5,,
10,55,11,2022-04-12,,,3.0,,,,551120220412,2022,4,5,,
11,55,12,2022-04-12,,,0.0,,,,551220220412,2022,4,5,,
12,5,1,2022-04-25,5.0,5.0,,,,,050120220425,2022,4,5,,
13,5,2,2022-04-25,14.0,10.0,,,,,050220220425,2022,4,5,,
14,5,3,2022-04-25,6.0,5.0,,,,,050320220425,2022,4,5,,
15,5,4,2022-04-25,9.0,10.0,,,,,050420220425,2022,4,5,,
16,5,5,2022-04-25,7.0,7.0,,,,,050520220425,2022,4,5,,
17,5,6,2022-04-25,4.0,5.0,,,,,050620220425,2022,4,5,,
18,5,7,2022-04-25,7.0,8.0,,,,,050720220425,2022,4,5,,
19,5,8,2022-04-25,9.0,6.0,,,,,050820220425,2022,4,5,,
20,5,9,2022-04-25,8.0,15.0,,,,,050920220425,2022,4,5,,
21,5,10,2022-04-25,5.0,7.0,,,,,051020220425,2022,4,5,,
22,5,11,2022-04-25,15.0,13.0,,,,,051120220425,2022,4,5,,
23,5,12,2022-04-25,10.0,18.0,,,,,051220220425,2022,4,5,,
24,27,1,2022-05-08,,,51.0,,,,270120220508,2022,5,5,,
25,27,2,2022-05-08,,,5.0,,,,270220220508,2022,5,5,,
26,27,3,2022-05-08,,,15.0,,,,270320220508,2022,5,5,,
27,27,4,2022-05-08,,,64.0,,,,270420220508,2022,5,5,,
28,27,5,2022-05-08,,,1.0,,,,270520220508,2022,5,5,,
29,27,6,2022-05-08,,,24.0,,,,270620220508,2022,5,5,,
30,27,7,2022-05-08,,,9.0,,,,270720220508,2022,5,5,,
31,27,8,2022-05-08,,,32.0,,,,270820220508,2022,5,5,,
32,27,9,2022-05-08,,,13.0,,,,270920220508,2022,5,5,,
33,27,10,2022-05-08,,,0.0,,,,271020220508,2022,5,5,,
34,27,11,2022-05-08,,,57.0,,,,271120220508,2022,5,5,,
35,27,12,2022-05-08,,,1.0,,,,271220220508,2022,5,5,,
36,42,1,2022-04-22,28.0,12.0,,,,,420120220422,2022,4,5,,
37,42,2,2022-04-22,7.0,9.0,,,,,420220220422,2022,4,5,,
38,42,3,2022-04-22,6.0,4.0,,,,,420320220422,2022,4,5,,
39,42,4,2022-04-22,8.0,14.0,,,,,420420220422,2022,4,5,,
40,42,5,2022-04-22,5.0,5.0,,,,,420520220422,2022,4,5,,
41,42,6,2022-04-22,7.0,6.0,,,,,420620220422,2022,4,5,,
42,42,7,2022-04-22,36.0,21.0,,,,,420720220422,2022,4,5,,
43,42,8,2022-04-22,10.0,5.0,,,,,420820220422,2022,4,5,,
44,42,9,2022-04-22,18.0,10.0,,,,,420920220422,2022,4,5,,
45,42,10,2022-04-22,22.0,17.0,,,,,421020220422,2022,4,5,,
46,42,11,2022-04-22,19.0,17.0,,,,,421120220422,2022,4,5,,
47,42,12,2022-04-22,9.0,10.0,,,,,421220220422,2022,4,5,,
48,55,1,2022-04-22,,,1.0,,,,550120220422,2022,4,5,,
49,55,2,2022-04-22,,,1.0,,,,550220220422,2022,4,5,,
50,55,3,2022-04-22,,,0.0,,,,550320220422,2022,4,5,,
51,55,4,2022-04-22,,,0.0,,,,550420220422,2022,4,5,,
52,55,5,2022-04-22,,,2.0,,,,550520220422,2022,4,5,,
