id LATITUDE LONGITUDE CS dataset name country weight_put_on_master_mix..g. estimated.number.of.seeds.in.total Notes bio1 bio2 bio3 bio4 bio5 bio6 bio7 bio8 bio9 bio10 bio11 bio12 bio13 bio14 bio15 bio16 bio17 bio18 bio19 prec1 prec2 prec3 prec4 prec5 prec6 prec7 prec8 prec9 prec10 prec11 prec12 tmin1 tmin2 tmin3 tmin4 tmin5 tmin6 tmin7 tmin8 tmin9 tmin10 tmin11 tmin12 tmax1 tmax2 tmax3 tmax4 tmax5 tmax6 tmax7 tmax8 tmax9 tmax10 tmax11 tmax12
159 47.35 3.93333 CS77070 1001G MAR2-3 FRA 0.3004 15590.76 NA 100 82 33 5854 232 -11 243 34 61 173 22 808 79 54 12 218 173 211 210 71 63 56 54 76 79 57 75 67 63 71 76 -11 -7 22 46 80 112 131 129 108 65 29 1 45 57 111 143 181 210 232 228 198 144 88 53
265 44.65 -1.16667 CS77198 1001G PYL-6 FRA 0.325 16867.5 NA 130 92 40 4889 252 27 225 75 191 192 67 1097 128 57 22 358 207 234 330 107 95 74 80 81 71 57 79 98 104 123 128 27 28 50 69 98 130 147 146 130 91 57 34 101 110 150 169 196 228 247 252 231 187 134 103
763 42.3 74.3667 CS76522 1001G Kar-1 KGZ 0.1827 9482.13 NA 4 113 27 10418 212 -206 418 69 -139 130 -139 460 77 19 46 199 67 125 67 19 24 41 62 77 60 39 26 22 36 30 24 -206 -187 -108 -27 16 49 74 63 16 -39 -105 -166 -104 -90 -21 78 128 175 212 207 156 77 -11 -76
765 42.1833 73.4 CS76607 1001G Sus-1 KGZ 0.2994 15538.86 NA 14 114 27 10146 222 -189 411 78 127 138 -124 535 87 21 44 223 80 119 95 28 32 54 76 87 60 37 22 21 44 39 35 -189 -172 -98 -20 23 57 81 68 19 -35 -96 -151 -91 -77 -9 85 137 187 222 214 163 84 -1 -64
766 42.5833 73.6333 CS76473 1001G Dja-1 KGZ 0.3004 15590.76 NA -51 105 25 10327 156 -255 411 11 -191 75 -191 579 94 26 42 238 94 153 94 27 31 54 74 94 70 50 33 26 45 39 36 -255 -240 -165 -82 -38 -4 23 12 -36 -91 -153 -211 -159 -150 -87 12 65 116 156 151 98 17 -67 -127
768 42.8 76.35 CS76634 1001G Zal-1 KGZ 0.3099 16083.81 NA -11 108 25 10790 193 -226 419 96 -160 117 -160 302 52 6 60 145 24 133 24 6 9 16 28 48 52 45 36 21 19 13 9 -226 -210 -126 -41 7 41 66 57 10 -49 -122 -187 -126 -113 -40 62 113 157 193 191 140 60 -32 -95
772 37.35 72.4667 CS76560 1001G Neo-6 TJK 0.3091 16042.29 NA 4 98 25 9318 193 -185 378 -4 114 119 -122 316 50 7 57 144 25 36 97 32 34 49 50 45 18 11 7 7 17 15 31 -185 -166 -100 -34 0 40 67 67 19 -31 -83 -135 -96 -84 -30 47 96 153 193 193 146 78 2 -64
5151 52.2 -1.7 CS78801 1001G UKSE06-325 UK 0.2959 15357.21 NA 96 76 37 4591 209 4 205 48 60 155 38 608 60 38 12 165 127 161 148 52 38 46 43 52 52 49 60 54 49 55 58 4 8 23 45 71 100 116 114 95 69 37 17 63 67 95 125 158 192 209 204 180 142 97 74
5165 51.3 0.4 CS78802 1001G UKSE06-362 UK 0.3171 16457.49 NA 101 76 36 4821 218 9 209 74 63 164 41 645 68 40 17 197 136 145 167 64 40 50 46 45 48 47 50 58 68 66 63 9 12 25 48 76 108 126 121 102 72 38 18 67 71 99 126 163 198 218 214 189 146 101 75
5768 54.1 -1.5 CS78786 1001G UKID63 UK 0.3076 15964.44 NA 93 73 37 4494 201 7 194 130 57 151 37 665 66 44 11 185 141 170 164 59 44 49 48 53 53 51 66 61 58 62 61 7 7 22 40 67 98 115 112 94 67 33 15 62 65 91 119 154 186 201 198 173 137 93 70
5772 54.1 -2.3 CS78787 1001G Set-1 UK 0.3059 15876.21 NA 80 70 36 4558 187 -6 193 33 100 139 23 1296 149 76 22 424 239 275 380 139 92 111 80 76 83 83 109 113 125 136 149 -6 -5 10 28 58 89 105 101 84 56 22 2 47 51 76 106 144 175 187 183 158 124 80 55
5784 56.4 -5.2 CS78790 1001G Ty-1 UK 0.3011 15627.09 NA 81 64 34 4405 180 -4 184 35 102 140 27 1909 232 95 29 652 304 359 593 218 143 167 105 95 104 118 137 182 206 202 232 -3 -4 16 32 66 98 109 106 83 53 22 8 49 53 78 104 142 173 180 176 147 113 79 61
5811 52.9 -3.1 CS78778 1001G UKID107 UK 0.3194 16576.86 NA 77 65 34 4547 181 -9 190 30 97 137 21 1002 112 66 18 316 206 218 279 96 71 80 66 71 69 67 82 88 92 108 112 -8 -9 11 29 59 89 106 103 83 52 20 5 41 46 73 103 138 169 181 177 152 116 73 54
