"ecotypeid","source","longitude","latitude","csnumber","name","country","weightmasterseed","estimatedseednumber","seedsperplot"
159,"1001G",3.93333,47.35,"CS77070","MAR2-3","France",0.3004,16638,17.33125
265,"1001G",-1.16667,44.65,"CS77198","PYL-6","France",0.325,18000,18.75
763,"1001G",74.3667,42.3,"CS76522","Kar-1","Kyrgyzstan",0.1827,10119,10.540625
765,"1001G",73.4,42.1833,"CS76607","Sus-1","Kyrgyzstan",0.2994,16582,17.27291667
766,"1001G",73.6333,42.5833,"CS76473","Dja-1","Kyrgyzstan",0.3004,16638,17.33125
768,"1001G",76.35,42.8,"CS76634","Zal-1","Kyrgyzstan",0.3099,17164,17.87916667
772,"1001G",72.4667,37.35,"CS76560","Neo-6","Tajikistan",0.3091,17120,17.83333333
5151,"1001G",-1.7,52.2,"CS78801","UKSE06-325","United_Kingdom",0.2959,16389,17.071875
5165,"1001G",0.4,51.3,"CS78802","UKSE06-362","United_Kingdom",0.3171,17563,18.29479167
5768,"1001G",-1.5,54.1,"CS78786","UKID63","United_Kingdom",0.3076,17037,17.746875
5772,"1001G",-2.3,54.1,"CS78787","Set-1","United_Kingdom",0.3059,16942,17.64791667
5784,"1001G",-5.2,56.4,"CS78790","Ty-1","United_Kingdom",0.3011,16677,17.371875
5811,"1001G",-3.1,52.9,"CS78778","UKID107","United_Kingdom",0.3194,17690,18.42708333
6013,"1001G",18.177,62.877,"CS76830","Eden-9","Sweden",0.2985,16533,17.221875
6025,"1001G",17.7339,62.6437,"CS76889","Gro-3","Sweden",0.2282,12639,13.165625
6040,"1001G",13.4,55.66,"CS76970","Kni-1","Sweden",0.3056,16926,17.63125
6073,"1001G",15.8155,56.1481,"CS77147","OMo1-7","Sweden",0.1625,9000,9.375
6074,"1001G",16.1308,56.4573,"CS77150","Or-1","Sweden",0.2099,11625,12.109375
6108,"1001G",13.1206,55.7989,"CS77300","T480","Sweden",0.3043,16854,17.55625
6150,"1001G",13.5319,55.9261,"CS77327","T980","Sweden",0.2899,16056,16.725
6177,"1001G",17.69,62.6322,"CS77338","TAL","Sweden",0.3388,18765,19.546875
6180,"1001G",17.6906,62.6322,"CS77339","TAL 07","Sweden",0.2993,16577,17.26770833
6184,"1001G",18.4522,62.8892,"CS77343","TBO","Sweden",0.3013,16688,17.38333333
6188,"1001G",14.1386,55.7683,"CS77345","TDr-1","Sweden",0.2983,16522,17.21041667
6195,"1001G",14.1342,55.7708,"CS77356","TDr-9","Sweden",0.31,17170,17.88541667
6209,"1001G",18.1842,62.8836,"CS77358","TEDEN","Sweden",0.3003,16632,17.325
6216,"1001G",18.3283,63.0167,"CS77362","TFA","Sweden",0.3043,16854,17.55625
6243,"1001G",13.90045,56.27373,"CS77381","Tottarp-2","Sweden",0.3053,16909,17.61354167
6244,"1001G",18.4728,62.9169,"CS77384","TRA 01","Sweden",0.3166,17535,18.265625
6898,"1001G",4.4,51.2167,"CS76435","An-1","Belgium",0.304,16837,17.53854167
6911,"1001G",-23.6167,15.1111,"CS76789","Cvi-0","Cabo_Verde",0.2999,16610,17.30208333
6915,"1001G",6.3,50.3,"CS76478","Ei-2","Germany",0.3037,16821,17.521875
6929,"1001G",68.49,38.48,"CS76532","Kondara","Tajikistan",0.3001,16621,17.31354167
6932,"1001G",10.8719,47.984,"CS77021","Ler-1","Germany",0.1915,10606,11.04791667
6938,"1001G",37.6322,55.7522,"CS76555","Ms-0","Russian_Federation",0.2984,16527,17.215625
6939,"regmap",22.46,32.34,NA,"Mt-0","Libya",0.3065,16976,17.68333333
6940,"1001G",8.3,50.3,"CS76557","Mz-0","Germany",0.3181,17618,18.35208333
6945,"1001G",4.45,52.24,"CS76562","Nok-3","Netherlands",0.3009,16666,17.36041667
6958,"1001G",3.3,46,"CS76582","Ra-0","France",0.303,16782,17.48125
6961,"1001G",-3.53333,38.3333,"CS76597","Se-0","Spain",0.3027,16765,17.46354167
6963,"1001G",68.48,38.35,"CS78917","Sorbo","Tajikistan",0.3031,16787,17.48645833
6979,"1001G",8.26,47.25,"CS76628","Wei-0","Switzerland",0.3018,16715,17.41145833
6987,"1001G",7.62551,48.0683,"CS76431","Ak-1","Germany",0.3034,16804,17.50416667
7000,"1001G",9.57073,50.9167,"CS76428","Aa-0","Germany",0.2086,11553,12.034375
7002,"1001G",6.1,51.3333,"CS76442","Baa-1","Netherlands",0.3011,16677,17.371875
7003,"1001G",7.5,47.5,"CS78888","Bs-1","Switzerland",0.3029,16776,17.475
7008,"1001G",5.675,52,"CS76447","Benk-1","Netherlands",0.3019,16721,17.41770833
7013,"1001G",13.287,52.4584,"CS76445","Bd-0","Germany",0.3016,16704,17.4
7025,"1001G",11.3396,44.5041,"CS76450","Bl-1","Italy",0.3065,16976,17.68333333
7028,"1001G",9.3166,49.5166,"CS76444","Bch-1","Germany",0.2962,16405,17.08854167
7031,"1001G",8.6667,50.0167,"CS76457","Bsch-0","Germany",0.3021,16732,17.42916667
7036,"1001G",9.5,50.5,"CS78889","Bu-0","Germany",0.305,16893,17.596875
7062,"1001G",8.26607,50.2981,"CS76459","Ca-0","Germany",0.3017,16710,17.40625
7063,"1001G",-13.4811,29.2144,"CS76740","Can-0","Spain",0.2978,16494,17.18125
7067,"1001G",15,37.3,"CS76786","Ct-1","Italy",0.2982,16516,17.20416667
7071,"1001G",1.33867,48.0717,"CS76463","Chat-1","France",0.3195,17696,18.43333333
7077,"1001G",-8.25,40.12,"CS76468","Co-1","Portugal",0.3015,16699,17.39479167
7092,"1001G",2.823,49.416,"CS76469","Com-1","France",0.309,17114,17.82708333
7103,"1001G",16.2667,49.4167,"CS76476","Dra-0","Czech_Republic",0.3017,16710,17.40625
7106,"1001G",13.7336,51.051,"CS78897","Dr-0","Germany",0.3138,17380,18.10416667
7125,"1001G",11.0087,49.5955,"CS78898","Er-0","Germany",0.3083,17075,17.78645833
7126,"1001G",24.5682,60.1997,"CS76484","Es-0","Finland",0.3204,17746,18.48541667
7127,"1001G",24.9871,58.6656,"CS76485","Est","Germany",0.2984,16527,17.215625
7143,"1001G",5.86667,51.0167,"CS76492","Gel-1","Netherlands",0.3164,17524,18.25416667
7164,"1001G",12.5686,55.675,"CS76915","Hau-0","Dernmark",0.2087,11559,12.040625
7165,"1001G",8.28844,51.3472,"CS76513","Hn-0","Germany",0.295,16339,17.01979167
7186,"1001G",23.8924,54.8969,"CS76969","Kn-0","Lithuania",0.3477,19258,20.06041667
7203,"1001G",11.5722,49.631,"CS76534","Krot-0","Germany",0.303,16782,17.48125
7209,"1001G",15.2333,52.7333,"CS76538","La-0","Poland",0.3033,16798,17.49791667
7217,"1001G",0.5,48,"CS76545","Lm-2","France",0.3011,16677,17.371875
7218,"1001G",4.49015,52.1611,"CS76540","Le-0","Netherlands",0.3067,16987,17.69479167
7244,"1001G",8.26664,50.001,"CS76552","Mnz-0","Germany",0.2996,16594,17.28541667
7255,"1001G",20.5,50.95,"CS76550","Mh-0","Poland",0.302,16726,17.42291667
7268,"1001G",10.981,52.6969,"CS76563","Np-0","Germany",0.301,16671,17.365625
7273,"1001G",13.2995,51.0581,"CS77128","No-0","Germany",0.3157,17485,18.21354167
7276,"1001G",8.5833,50.2,"CS76566","Ob-0","Germany",0.306,16948,17.65416667
7282,"1001G",8.01161,50.3827,"CS76568","Or-0","Germany",0.3059,16942,17.64791667
7287,"1001G",8.42255,53.3422,"CS76569","Ove-0","Germany",0.3031,16787,17.48645833
7288,"1001G",6.193019,60.385543,"CS77156","Oy-0","Norway",0.3082,17070,17.78125
7296,"1001G",29,59,"CS77170","Petergof","Russian_Federation",0.3075,17031,17.740625
7298,"1001G",10.51,47.04,"CS76572","Pi-0","Austria",0.3017,16710,17.40625
7316,"1001G",5.56667,51.9667,"CS78916","Rhen-1","Netherlands",0.3122,17291,18.01145833
7323,"1001G",38.28,49,"CS76594","Rubezhnoe-1","Ukraine",0.314,17391,18.115625
7333,"1001G",11.5614,46.5438,"CS76599","Sei-0","Italy",0.2643,14638,15.24791667
7346,"1001G",11.8558,52.6058,"CS77277","Ste-0","Germany",0.3212,17790,18.53125
7347,"1001G",36,52,"CS76605","Stw-0","Russian_Federation",0.3094,17136,17.85
7353,"1001G",4.3,52.08,"CS76611","Tha-1","Netherlands",0.3055,16920,17.625
7372,"1001G",9.9042,47.0748,"CS76616","Tscha-1","Austria",0.2961,16400,17.08333333
7378,"1001G",7.7667,48.0333,"CS76620","Uk-1","Germany",0.3023,16743,17.440625
7384,"1001G",5.55,52.0333,"CS76624","Ven-1","Netherlands",0.2999,16610,17.30208333
7394,"1001G",21,52.3,"CS76626","Wa-1","Poland",0.2997,16599,17.290625
7404,"1001G",10.0667,52.6,"CS76627","Wc-1","Germany",0.3123,17297,18.01770833
7411,"1001G",10.8134,47.9299,"CS76630","Wl-0","Germany",0.3026,16760,17.45833333
7521,"1001G",16.81,49.38,"CS77052","Lp2-6","Czech_Republic",0.3051,16898,17.60208333
8214,"1001G",2,49,"CS78901","Gy-0","France",0.3009,16666,17.36041667
8230,"1001G",16.5,56.68,"CS76657","Algutsrum","Sweden",0.3044,16859,17.56145833
8231,"1001G",16,56.3,"CS76726","Bro1-6","Sweden",0.2977,16488,17.175
8240,"1001G",13.196,55.705,"CS76987","Kulturen-1","Sweden",0.3031,16787,17.48645833
8247,"1001G",13.74,56.07,"CS77233","San-2","Sweden",0.3246,17978,18.72708333
8249,"1001G",15.8,57.7,"CS78845","Vimmerby","Sweden",0.3117,17264,17.98333333
8311,"1001G",11.5,47.5,"CS78903","In-0","Austria",0.3063,16965,17.671875
8312,"1001G",7.5,50.5,"CS78904","Is-0","Germany",0.2989,16555,17.24479167
8351,"1001G",18.37,60.25,"CS77154","Ost-0","Sweden",0.3049,16887,17.590625
8354,"1001G",56.3167,58,"CS76571","Per-1","Russian_Federation",0.3035,16810,17.51041667
8357,"1001G",2.25,41.5,"CS76573","Pla-0","Spain",0.3051,16898,17.60208333
8376,"1001G",18,62.69,"CS77234","Sanna-2","Sweden",0.3015,16699,17.39479167
