"r1filename","r2filename","sampleid","r1srafolder","r2srafolder","unit","platform","datereleased"
"MLFH_1_1_20180409_CKDL210000711-1a-AK11638-AK9050_HFLJFCCX2_L6_1.fq.gz","MLFH_1_1_20180409_CKDL210000711-1a-AK11638-AK9050_HFLJFCCX2_L6_2.fq.gz","MLFH010120180409","/Carnegie/DPB/Data/Shared/Labs/Moi/Everyone/SRA/grenenet-phase1/2021-01-29-ath-release-01/raw_data/MLFH_1_1_20180409/MLFH_1_1_20180409_CKDL210000711-1a-AK11638-AK9050_HFLJFCCX2_L6_1.fq.gz","/Carnegie/DPB/Data/Shared/Labs/Moi/Everyone/SRA/grenenet-phase1/2021-01-29-ath-release-01/raw_data/MLFH_1_1_20180409/MLFH_1_1_20180409_CKDL210000711-1a-AK11638-AK9050_HFLJFCCX2_L6_2.fq.gz",1,"ILLUMINA","2021-01-29-ath-release-01"
"MLFH_1_1_20180409_CKDL210000711-1a-AK11638-AK9050_HFLHHCCX2_L2_1.fq.gz","MLFH_1_1_20180409_CKDL210000711-1a-AK11638-AK9050_HFLHHCCX2_L2_2.fq.gz","MLFH010120180409","/Carnegie/DPB/Data/Shared/Labs/Moi/Everyone/SRA/grenenet-phase1/2021-02-18-ath-release-03/raw_data/MLFH_1_1_20180409/MLFH_1_1_20180409_CKDL210000711-1a-AK11638-AK9050_HFLHHCCX2_L2_1.fq.gz","/Carnegie/DPB/Data/Shared/Labs/Moi/Everyone/SRA/grenenet-phase1/2021-02-18-ath-release-03/raw_data/MLFH_1_1_20180409/MLFH_1_1_20180409_CKDL210000711-1a-AK11638-AK9050_HFLHHCCX2_L2_2.fq.gz",2,"ILLUMINA","2021-02-18-ath-release-03"
"MLFH_1_1_20180423_CKDL210000711-1a-AK33987-AK9050_HFLJFCCX2_L6_1.fq.gz","MLFH_1_1_20180423_CKDL210000711-1a-AK33987-AK9050_HFLJFCCX2_L6_2.fq.gz","MLFH010120180423","/Carnegie/DPB/Data/Shared/Labs/Moi/Everyone/SRA/grenenet-phase1/2021-01-29-ath-release-01/raw_data/MLFH_1_1_20180423/MLFH_1_1_20180423_CKDL210000711-1a-AK33987-AK9050_HFLJFCCX2_L6_1.fq.gz","/Carnegie/DPB/Data/Shared/Labs/Moi/Everyone/SRA/grenenet-phase1/2021-01-29-ath-release-01/raw_data/MLFH_1_1_20180423/MLFH_1_1_20180423_CKDL210000711-1a-AK33987-AK9050_HFLJFCCX2_L6_2.fq.gz",1,"ILLUMINA","2021-01-29-ath-release-01"
"MLFH_1_1_20180423_CKDL210000711-1a-AK33987-AK9050_HFLHHCCX2_L2_1.fq.gz","MLFH_1_1_20180423_CKDL210000711-1a-AK33987-AK9050_HFLHHCCX2_L2_2.fq.gz","MLFH010120180423","/Carnegie/DPB/Data/Shared/Labs/Moi/Everyone/SRA/grenenet-phase1/2021-02-18-ath-release-03/raw_data/MLFH_1_1_20180423/MLFH_1_1_20180423_CKDL210000711-1a-AK33987-AK9050_HFLHHCCX2_L2_1.fq.gz","/Carnegie/DPB/Data/Shared/Labs/Moi/Everyone/SRA/grenenet-phase1/2021-02-18-ath-release-03/raw_data/MLFH_1_1_20180423/MLFH_1_1_20180423_CKDL210000711-1a-AK33987-AK9050_HFLHHCCX2_L2_2.fq.gz",2,"ILLUMINA","2021-02-18-ath-release-03"
"MLFH_1_1_20180507_CKDL210000711-1a-AK28238-AK9050_HFLJFCCX2_L6_1.fq.gz","MLFH_1_1_20180507_CKDL210000711-1a-AK28238-AK9050_HFLJFCCX2_L6_2.fq.gz","MLFH010120180507","/Carnegie/DPB/Data/Shared/Labs/Moi/Everyone/SRA/grenenet-phase1/2021-01-29-ath-release-01/raw_data/MLFH_1_1_20180507/MLFH_1_1_20180507_CKDL210000711-1a-AK28238-AK9050_HFLJFCCX2_L6_1.fq.gz","/Carnegie/DPB/Data/Shared/Labs/Moi/Everyone/SRA/grenenet-phase1/2021-01-29-ath-release-01/raw_data/MLFH_1_1_20180507/MLFH_1_1_20180507_CKDL210000711-1a-AK28238-AK9050_HFLJFCCX2_L6_2.fq.gz",1,"ILLUMINA","2021-01-29-ath-release-01"
"MLFH_1_1_20180507_CKDL210000711-1a-AK28238-AK9050_HFLHHCCX2_L2_1.fq.gz","MLFH_1_1_20180507_CKDL210000711-1a-AK28238-AK9050_HFLHHCCX2_L2_2.fq.gz","MLFH010120180507","/Carnegie/DPB/Data/Shared/Labs/Moi/Everyone/SRA/grenenet-phase1/2021-02-18-ath-release-03/raw_data/MLFH_1_1_20180507/MLFH_1_1_20180507_CKDL210000711-1a-AK28238-AK9050_HFLHHCCX2_L2_1.fq.gz","/Carnegie/DPB/Data/Shared/Labs/Moi/Everyone/SRA/grenenet-phase1/2021-02-18-ath-release-03/raw_data/MLFH_1_1_20180507/MLFH_1_1_20180507_CKDL210000711-1a-AK28238-AK9050_HFLHHCCX2_L2_2.fq.gz",2,"ILLUMINA","2021-02-18-ath-release-03"
"MLFH_1_1_20180518_CKDL210000711-1a-AK9787-AK9050_HFLJFCCX2_L6_1.fq.gz","MLFH_1_1_20180518_CKDL210000711-1a-AK9787-AK9050_HFLJFCCX2_L6_2.fq.gz","MLFH010120180518","/Carnegie/DPB/Data/Shared/Labs/Moi/Everyone/SRA/grenenet-phase1/2021-01-29-ath-release-01/raw_data/MLFH_1_1_20180518/MLFH_1_1_20180518_CKDL210000711-1a-AK9787-AK9050_HFLJFCCX2_L6_1.fq.gz","/Carnegie/DPB/Data/Shared/Labs/Moi/Everyone/SRA/grenenet-phase1/2021-01-29-ath-release-01/raw_data/MLFH_1_1_20180518/MLFH_1_1_20180518_CKDL210000711-1a-AK9787-AK9050_HFLJFCCX2_L6_2.fq.gz",1,"ILLUMINA","2021-01-29-ath-release-01"
"MLFH_1_1_20180518_CKDL210000711-1a-AK9787-AK9050_HFLHHCCX2_L2_1.fq.gz","MLFH_1_1_20180518_CKDL210000711-1a-AK9787-AK9050_HFLHHCCX2_L2_2.fq.gz","MLFH010120180518","/Carnegie/DPB/Data/Shared/Labs/Moi/Everyone/SRA/grenenet-phase1/2021-02-18-ath-release-03/raw_data/MLFH_1_1_20180518/MLFH_1_1_20180518_CKDL210000711-1a-AK9787-AK9050_HFLHHCCX2_L2_1.fq.gz","/Carnegie/DPB/Data/Shared/Labs/Moi/Everyone/SRA/grenenet-phase1/2021-02-18-ath-release-03/raw_data/MLFH_1_1_20180518/MLFH_1_1_20180518_CKDL210000711-1a-AK9787-AK9050_HFLHHCCX2_L2_2.fq.gz",2,"ILLUMINA","2021-02-18-ath-release-03"
"MLFH_1_1_20190401_CKDL210000711-1a-AK34069-AK9050_HFLJFCCX2_L6_1.fq.gz","MLFH_1_1_20190401_CKDL210000711-1a-AK34069-AK9050_HFLJFCCX2_L6_2.fq.gz","MLFH010120190401","/Carnegie/DPB/Data/Shared/Labs/Moi/Everyone/SRA/grenenet-phase1/2021-01-29-ath-release-01/raw_data/MLFH_1_1_20190401/MLFH_1_1_20190401_CKDL210000711-1a-AK34069-AK9050_HFLJFCCX2_L6_1.fq.gz","/Carnegie/DPB/Data/Shared/Labs/Moi/Everyone/SRA/grenenet-phase1/2021-01-29-ath-release-01/raw_data/MLFH_1_1_20190401/MLFH_1_1_20190401_CKDL210000711-1a-AK34069-AK9050_HFLJFCCX2_L6_2.fq.gz",1,"ILLUMINA","2021-01-29-ath-release-01"
"MLFH_1_1_20190401_CKDL210000711-1a-AK34069-AK9050_HFLHHCCX2_L2_1.fq.gz","MLFH_1_1_20190401_CKDL210000711-1a-AK34069-AK9050_HFLHHCCX2_L2_2.fq.gz","MLFH010120190401","/Carnegie/DPB/Data/Shared/Labs/Moi/Everyone/SRA/grenenet-phase1/2021-02-18-ath-release-03/raw_data/MLFH_1_1_20190401/MLFH_1_1_20190401_CKDL210000711-1a-AK34069-AK9050_HFLHHCCX2_L2_1.fq.gz","/Carnegie/DPB/Data/Shared/Labs/Moi/Everyone/SRA/grenenet-phase1/2021-02-18-ath-release-03/raw_data/MLFH_1_1_20190401/MLFH_1_1_20190401_CKDL210000711-1a-AK34069-AK9050_HFLHHCCX2_L2_2.fq.gz",2,"ILLUMINA","2021-02-18-ath-release-03"
