,fileid,name,ext,foldername,pfoldername,sensortype,site,plot,devicenum,date
0,16wBGZhJpmZhil48c6pdqEhLslTVjRft4,01-03-40C20B21-20210607,csv,Site 1 Niek Scheepens 2020-2021 DATA,DATA 2020-2021,temp,1,03,40C20B21,20210607
1,1A4yqPYq7-vC6BSg9Q9N7fJ4RGk-_1HsO,01-03-40C89021-20180809,csv,Site 1 Niek Scheepens 2017-2018 data,DATA 2017-2018,temp,1,03,40C89021,20180809
2,1iDsXOXAR1HJidPx_pixdUBzkMJR2C3z0,01-03-40C89021-20200619,csv,Site 1 Niek Scheepens 2019-2020 data,DATA 2019-2020,temp,1,03,40C89021,20200619
3,1FG-72DKVWH0cjB3_i3HGv_Vq9l0V4csT,01-10-40C20B21-20200619,csv,Site 1 Niek Scheepens 2019-2020 data,DATA 2019-2020,temp,1,10,40C20B21,20200619
4,1JPc7pb4-phUeOyYstdOAzqvQ3DlPMfTX,01-10-40C20B21-20210607,csv,Site 1 Niek Scheepens 2020-2021 DATA,DATA 2020-2021,temp,1,10,40C20B21,20210607
9,1y61FoYpvnN5QeZP-Pctcfb0skzwXOFAE,02-06-40A5F521-20180716,csv,Site 2 Francois Vasseur 2017-2018 data,DATA 2017-2018,temp,2,06,40A5F521,20180716
10,1OJnFXwTLlMiBvuzitpSiPiwCCaKZYim-,02-12-40A5F521-20191106,csv,Site 2 Francois Vasseur 2018-2019 data,DATA 2018-2019,temp,2,12,40A5F521,20191106
11,1jxcNY9mFtArOXQHJ3i4r1E7XBT85tLDD,02-12-40CADA21-20180716,csv,Site 2 Francois Vasseur 2017-2018 data,DATA 2017-2018,temp,2,12,40CADA21,20180716
16,1Zo6evhgFr5vhNFCN4nUzUBRewvY1uyK8,04-04-40BEBB21-20180808,csv,Site 4 Xavier Pico 2017-2018 data,DATA 2017-2018,temp,4,04,40BEBB21,20180808
17,1lBbeLDaACqzraFs9mWU1bLDLcZrsPzNK,04-04-40BEBB21-20190619,csv,Site 4 Xavier Pico 2018-2019 data,DATA 2018-2019,temp,4,04,40BEBB21,20190619
18,1HdnVHMyekP1WHGlgPLB_OkDcxTG09h9e,04-08-40BEBB21-20180808,csv,Site 4 Xavier Pico 2017-2018 data,DATA 2017-2018,temp,4,08,40BEBB21,20180808
19,1b-AryPQyG66kBMnNj7FjEmGUP86Drdla,04-08-40BEBB21-20190619,csv,Site 4 Xavier Pico 2018-2019 data,DATA 2018-2019,temp,4,08,40BEBB21,20190619
20,1sbMOpAKjVK9EatgOWXUob8wmwu5tJCdh,05-03-40B1D421-20180711,csv,Site 5 Carlos Alonso-Blanco,DATA 2017-2018,temp,5,03,40B1D421,20180711
21,1x1Ce1hD3-Z2J1S_Bg2Pstt4zRFL9t72D,05-03-40B1D421-20190618,csv,Site 5 Carlos Alonso-Blanco 2018-2019 data,DATA 2018-2019,temp,5,03,40B1D421,20190618
22,1hgnc42wDnlUaGAnP79qxfFXoZthI75sl,05-03-40B1D421-20200630,csv,Site 5 Carlos Alonso-Blanco 2019-2020 data,DATA 2019-2020,temp,5,03,40B1D421,20200630
23,1LhoKOoxRrNRjHpBgkLaKllsmRU6e807x,05-03-40B1D421-20210623,csv,Site 5 - Carlos Alonso-Blanco 2020-2021 DATA,DATA 2020-2021,temp,5,03,40B1D421,20210623
24,1gCfDakYzlafbFioj5k4QNQe5GObzSPTQ,05-03-40B1D421-20220603,csv,Site 5 - Carlos Alonso-Blanco 2021-2022 DATA,DATA 2021-2022,temp,5,03,40B1D421,20220603
25,1Yu3N-jrRaN4Zy5H3ADscA0_OyrnlpdwU,05-10-408EFA21-20180711,csv,Site 5 Carlos Alonso-Blanco,DATA 2017-2018,temp,5,10,408EFA21,20180711
26,1PtXmz33v6mB2aReKeyli93UrJe-F5xqA,05-10-408EFA21-20190618,csv,Site 5 Carlos Alonso-Blanco 2018-2019 data,DATA 2018-2019,temp,5,10,408EFA21,20190618
27,1MZ8wWhJmI5_CWNd-gAMpk47xz0RzVkhr,05-10-408EFA21-20200630,csv,Site 5 Carlos Alonso-Blanco 2019-2020 data,DATA 2019-2020,temp,5,10,408EFA21,20200630
28,1agBFsUcH2vMxLjZeWcFhyrd3GNeVqB-r,05-10-408EFA21-20210623,csv,Site 5 - Carlos Alonso-Blanco 2020-2021 DATA,DATA 2020-2021,temp,5,10,408EFA21,20210623
29,1cQQqjE8LMGDNi3sJp1GPBe6fSen-9JYX,05-10-40B1D421-20220603,csv,Site 5 - Carlos Alonso-Blanco 2021-2022 DATA,DATA 2021-2022,temp,5,10,40B1D421,20220603
37,1kUmVSUhXIw--F704LE2HBnAmFcogZfPQ,06-04-40CC4021-20180725,csv,Site 6 Arnald Marcer 2017-2018 data,DATA 2017-2018,temp,6,04,40CC4021,20180725
38,15NokU0DZZ2gM8CMyDHVNCyYQGRsyMrJ2,06-09-40C14D21-20180725,csv,Site 6 Arnald Marcer 2017-2018 data,DATA 2017-2018,temp,6,09,40C14D21,20180725
39,14HgihZPgZM1yqo6sHXP9WbctXuZjUklR,06-09-40C14D21-20190730,csv,Site 6 Arnald Marcer 2018-2019 data,DATA 2018-2019,temp,6,09,40C14D21,20190730
42,14oLBjALaTfpAn3HxhLyEoC8L7EJEfmUs,09-04-408CE821-20190702,csv,Site 9 Steve Franks 2018-2019 data,DATA 2018-2019,temp,9,04,408CE821,20190702
43,1QiNoInJ8SiBu5d-UnG2DYpFSYFwDY0Xz,09-04-40BE4721-20180712,csv,Site 9 Steve Franks 2017-2018 data,DATA 2017-2018,temp,9,04,40BE4721,20180712
44,16pm7Pk4XpQm5EvO4u8MIoY52socYkgER,09-04-40BE4721-20190702,csv,Site 9 Steve Franks 2018-2019 data,DATA 2018-2019,temp,9,04,40BE4721,20190702
45,1wbVY73da9B7zFvTqU58Gx5a4g5cDiRgM,09-04-40BE4721-20200923,csv,Site 9 Steven Franks 2019-2020 data,DATA 2019-2020,temp,9,04,40BE4721,20200923
46,1rHrCDajM7TndI7_YFAKRwy_2s2YLo8dg,09-08-408CE821-20180712,csv,Site 9 Steve Franks 2017-2018 data,DATA 2017-2018,temp,9,08,408CE821,20180712
51,1nxwoRmZjuv540p4-LZjxqWx3i5Kim9Sv,10-02-409b2221-20200720,csv,Site 10 Allison Hutt and Juenger 2019-2020 data,DATA 2019-2020,temp,10,02,409b2221,20200720
52,1RuR7hIhemN_1hsZl2WNh1d8tgE7NA6do,10-02-40c6cb21-20210128,csv,Site 10 - disturbed - Allison Hutt and Juenger final data,DATA 2019-2020,temp,10,02,40c6cb21,20210128
53,1PmxxWqV7zzhet5UafCvtuTbiyo_wQVvX,10-03-40C2A421-20180730,csv,Site 10 Juenger Alli Hutt 2017-2018 data,DATA 2017-2018,temp,10,03,40C2A421,20180730
54,11vah9RHwsgZaiP-f4xSwKj1gsaNy2rkQ,10-10-409B2221-20180730,csv,Site 10 Juenger Alli Hutt 2017-2018 data,DATA 2017-2018,temp,10,10,409B2221,20180730
