"sample_name","total_flower_counts","weighted_depth","sample_times","site","generation","plot","sampleidlist"
"1_1_1",146,19.4096842123288,4,1,1,1,"MLFH010120180409;MLFH010120180423;MLFH010120180507;MLFH010120180518"
"1_1_2",235,19.2302089574468,4,1,1,2,"MLFH010220180409;MLFH010220180423;MLFH010220180507;MLFH010220180518"
"1_1_3",229,9.30201048908297,4,1,1,3,"MLFH010320180409;MLFH010320180423;MLFH010320180507;MLFH010320180518"
"1_1_4",233,8.17491702145923,4,1,1,4,"MLFH010420180409;MLFH010420180423;MLFH010420180507;MLFH010420180518"
"1_1_5",226,7.23048581858407,4,1,1,5,"MLFH010520180409;MLFH010520180423;MLFH010520180507;MLFH010520180518"
"1_1_6",203,5.12671121674877,4,1,1,6,"MLFH010620180409;MLFH010620180423;MLFH010620180507;MLFH010620180518"
"1_1_7",254,4.99263724409449,4,1,1,7,"MLFH010720180409;MLFH010720180423;MLFH010720180507;MLFH010720180518"
"1_1_8",151,1.20445954304636,2,1,1,8,"MLFH010820180409;MLFH010820180423"
"1_1_9",215,8.22507653023256,4,1,1,9,"MLFH010920180409;MLFH010920180423;MLFH010920180507;MLFH010920180518"
"1_1_10",263,7.84228694296578,4,1,1,10,"MLFH011020180409;MLFH011020180423;MLFH011020180507;MLFH011020180518"
"1_1_11",224,2.17178682589286,4,1,1,11,"MLFH011120180409;MLFH011120180423;MLFH011120180507;MLFH011120180518"
"1_1_12",243,8.19898363374486,4,1,1,12,"MLFH011220180409;MLFH011220180423;MLFH011220180507;MLFH011220180518"
"1_2_1",208,12.2528757836538,5,1,2,1,"MLFH010120190401;MLFH010120190415;MLFH010120190429;MLFH010120190513;MLFH010120190528"
"1_2_2",194,20.2471597525773,5,1,2,2,"MLFH010220190401;MLFH010220190415;MLFH010220190429;MLFH010220190513;MLFH010220190528"
"1_2_3",117,6.82973733333333,5,1,2,3,"MLFH010320190401;MLFH010320190415;MLFH010320190429;MLFH010320190513;MLFH010320190528"
"1_2_4",235,7.75164488085106,5,1,2,4,"MLFH010420190401;MLFH010420190415;MLFH010420190429;MLFH010420190513;MLFH010420190528"
"1_2_5",204,6.1733831127451,5,1,2,5,"MLFH010520190401;MLFH010520190415;MLFH010520190429;MLFH010520190513;MLFH010520190528"
"1_2_6",276,2.60421079710145,5,1,2,6,"MLFH010620190401;MLFH010620190415;MLFH010620190429;MLFH010620190513;MLFH010620190528"
"1_2_7",95,1.22426332631579,3,1,2,7,"MLFH010720190401;MLFH010720190415;MLFH010720190429"
"1_2_8",207,3.8216239178744,5,1,2,8,"MLFH010820190220;MLFH010820190415;MLFH010820190429;MLFH010820190513;MLFH010820190528"
"1_2_9",68,2.76367233823529,6,1,2,9,"MLFH010920190220;MLFH010920190401;MLFH010920190415;MLFH010920190429;MLFH010920190513;MLFH010920190528"
"1_2_10",133,2.1443475112782,4,1,2,10,"MLFH011020190415;MLFH011020190429;MLFH011020190513;MLFH011020190528"
"1_2_11",137,7.52530496350365,5,1,2,11,"MLFH011120190401;MLFH011120190415;MLFH011120190429;MLFH011120190513;MLFH011120190528"
"1_2_12",67,6.65897425373134,5,1,2,12,"MLFH011220190401;MLFH011220190415;MLFH011220190429;MLFH011220190513;MLFH011220190528"
"1_3_1",24,8.470861125,5,1,3,1,"MLFH010120200323;MLFH010120200406;MLFH010120200420;MLFH010120200504;MLFH010120200518"
"1_3_4",20,7.96589765,4,1,3,4,"MLFH010420200406;MLFH010420200420;MLFH010420200504;MLFH010420200518"
"1_3_5",72,8.59792440277778,5,1,3,5,"MLFH010520200323;MLFH010520200406;MLFH010520200420;MLFH010520200504;MLFH010520200518"
"1_3_6",44,6.374848,5,1,3,6,"MLFH010620200323;MLFH010620200406;MLFH010620200420;MLFH010620200504;MLFH010620200518"
"1_3_7",115,6.40370859130435,6,1,3,7,"MLFH010720200329;MLFH010720200406;MLFH010720200420;MLFH010720200504;MLFH010720200518;MLFH010720200602"
"1_3_8",8,3.976964,2,1,3,8,"MLFH010820200406;MLFH010820200420"
"1_3_9",21,6.846714,6,1,3,9,"MLFH010920200323;MLFH010920200406;MLFH010920200420;MLFH010920200504;MLFH010920200518;MLFH010920200602"
"1_3_10",4,4.41017275,2,1,3,10,"MLFH011020200406;MLFH011020200420"
"1_3_11",264,6.66086226515151,6,1,3,11,"MLFH011120200323;MLFH011120200406;MLFH011120200420;MLFH011120200504;MLFH011120200518;MLFH011120200602"
"1_3_12",48,8.16289697916667,6,1,3,12,"MLFH011220200323;MLFH011220200406;MLFH011220200420;MLFH011220200504;MLFH011220200518;MLFH011220200602"
"2_1_6",67,7.78575070149254,2,2,1,6,"MLFH020620180405;MLFH020620180420"
"2_1_7",39,5.77105917948718,2,2,1,7,"MLFH020720180405;MLFH020720180420"
"2_1_8",109,2.61478502752294,2,2,1,8,"MLFH020820180405;MLFH020820180420"
"2_1_9",85,2.24225811764706,2,2,1,9,"MLFH020920180405;MLFH020920180420"
"2_1_11",52,5.19081976923077,2,2,1,11,"MLFH021120180405;MLFH021120180420"
"2_1_12",43,3.77294906976744,2,2,1,12,"MLFH021220180405;MLFH021220180420"
"2_2_5",15,6.188879,1,2,2,5,"MLFH020520190221"
"2_2_6",3,5.775552,1,2,2,6,"MLFH020620190215"
"2_2_7",12,7.764058,1,2,2,7,"MLFH020720190221"
"4_1_1",200,16.631347,2,4,1,1,"MLFH040120180306;MLFH040120180321"
"4_1_2",200,21.1636745,2,4,1,2,"MLFH040220180306;MLFH040220180321"
"4_1_3",200,10.246284,2,4,1,3,"MLFH040320180306;MLFH040320180321"
