CODES SITE PLOT DATE SAMPLE_ID NUMBER_FLOWERS_COLLECTED COMMENTS1 COMMENTS2 COMMENTS3 D RECODE
FH 1 1 20200323 FH-1-1-20200323 1 na na NA 2020-03-23 FH
FH 1 2 20200323 FH-1-2-20200324 0 na na NA 2020-03-23 FH
FH 1 3 20200323 FH-1-3-20200325 0 na na NA 2020-03-23 FH
FH 1 4 20200323 FH-1-4-20200326 0 na na NA 2020-03-23 FH
FH 1 5 20200323 FH-1-5-20200327 6 na na NA 2020-03-23 FH
FH 1 6 20200323 FH-1-6-20200328 4 na na NA 2020-03-23 FH
FH 1 7 20200323 FH-1-7-20200329 44 na na NA 2020-03-23 FH
FH 1 8 20200323 FH-1-8-20200330 0 na na NA 2020-03-23 FH
FH 1 9 20200323 FH-1-9-20200331 1 na na NA 2020-03-23 FH
FH 1 10 20200323 FH-1-10-20200332 0 na na NA 2020-03-23 FH
FH 1 11 20200323 FH-1-11-20200333 90 na na NA 2020-03-23 FH
FH 1 12 20200323 FH-1-12-20200334 5 na na NA 2020-03-23 FH
FH 1 1 20200406 FH-01-01-20200406 6 na na NA 2020-04-06 FH
FH 1 2 20200406 FH-01-02-20200406 0 na na NA 2020-04-06 FH
FH 1 3 20200406 FH-01-03-20200406 0 na na NA 2020-04-06 FH
FH 1 4 20200406 FH-01-04-20200406 2 na na NA 2020-04-06 FH
FH 1 5 20200406 FH-01-05-20200406 35 na na NA 2020-04-06 FH
FH 1 6 20200406 FH-01-06-20200406 15 na na NA 2020-04-06 FH
FH 1 7 20200406 FH-01-07-20200406 41 na na NA 2020-04-06 FH
FH 1 8 20200406 FH-01-08-20200406 7 na na NA 2020-04-06 FH
FH 1 9 20200406 FH-01-09-20200406 4 na na NA 2020-04-06 FH
FH 1 10 20200406 FH-01-10-20200406 3 na na NA 2020-04-06 FH
FH 1 11 20200406 FH-01-11-20200406 100 ca. 130 flowering individuals available na NA 2020-04-06 FH
FH 1 12 20200406 FH-01-12-20200406 23 na na NA 2020-04-06 FH
FH 1 1 20200420 FH-01-01-20200420 5 na na NA 2020-04-20 FH
FH 1 2 20200420 FH-01-02-20200420 0 na na NA 2020-04-20 FH
FH 1 3 20200420 FH-01-03-20200420 0 na na NA 2020-04-20 FH
FH 1 4 20200420 FH-01-04-20200420 6 na na NA 2020-04-20 FH
FH 1 5 20200420 FH-01-05-20200420 20 na na NA 2020-04-20 FH
FH 1 6 20200420 FH-01-06-20200420 12 na na NA 2020-04-20 FH
FH 1 7 20200420 FH-01-07-20200420 10 na na NA 2020-04-20 FH
FH 1 8 20200420 FH-01-08-20200420 1 na na NA 2020-04-20 FH
FH 1 9 20200420 FH-01-09-20200420 8 na na NA 2020-04-20 FH
FH 1 10 20200420 FH-01-10-20200420 1 na na NA 2020-04-20 FH
