"sampleid","code","site","plot","date","year","month","day","flowerscollected","isreplicate","isfailedlabwork","isdispersion","sampleid_alternative","generation","generation_merge57","mapped_reads","coverage","usesample","weighted_mean_coverage"
"MLFH010120180409","FH",1,1,"20180409",2018,4,9,16,FALSE,FALSE,FALSE,NA,1,1,20927732,20.927732,TRUE,19.4096842123288
"MLFH010120180423","FH",1,1,"20180423",2018,4,23,100,FALSE,FALSE,FALSE,NA,1,1,19991011,19.991011,TRUE,19.4096842123288
"MLFH010120180507","FH",1,1,"20180507",2018,5,7,17,FALSE,FALSE,FALSE,NA,1,1,13992774,13.992774,TRUE,19.4096842123288
"MLFH010120180518","FH",1,1,"20180518",2018,5,18,13,FALSE,FALSE,FALSE,NA,1,1,20153225,20.153225,TRUE,19.4096842123288
"MLFH010120190401","FH",1,1,"20190401",2019,4,1,17,FALSE,FALSE,FALSE,NA,2,2,18384254,18.384254,TRUE,12.2528757836538
"MLFH010120190415","FH",1,1,"20190415",2019,4,15,55,FALSE,FALSE,FALSE,NA,2,2,15612630,15.61263,TRUE,12.2528757836538
"MLFH010120190429","FH",1,1,"20190429",2019,4,29,45,FALSE,FALSE,FALSE,NA,2,2,16735561,16.735561,TRUE,12.2528757836538
"MLFH010120190513","FH",1,1,"20190513",2019,5,13,43,FALSE,FALSE,FALSE,NA,2,2,8778674,8.778674,TRUE,12.2528757836538
"MLFH010120190528","FH",1,1,"20190528",2019,5,28,48,FALSE,FALSE,FALSE,NA,2,2,5141416,5.141416,TRUE,12.2528757836538
"MLFH010120200323","FH",1,1,"20200323",2020,3,23,1,FALSE,FALSE,FALSE,NA,3,3,8519002,8.519002,TRUE,8.470861125
"MLFH010120200406","FH",1,1,"20200406",2020,4,6,6,FALSE,FALSE,FALSE,NA,3,3,8322276,8.322276,TRUE,8.470861125
"MLFH010120200420","FH",1,1,"20200420",2020,4,20,5,FALSE,FALSE,FALSE,NA,3,3,7983697,7.983697,TRUE,8.470861125
"MLFH010120200504","FH",1,1,"20200504",2020,5,4,6,FALSE,FALSE,FALSE,NA,3,3,8833362,8.833362,TRUE,8.470861125
"MLFH010120200518","FH",1,1,"20200518",2020,5,18,6,FALSE,FALSE,FALSE,NA,3,3,8654892,8.654892,TRUE,8.470861125
"MLFH010220180409","FH",1,2,"20180409",2018,4,9,17,FALSE,FALSE,FALSE,NA,1,1,19817817,19.817817,TRUE,19.2302089574468
"MLFH010220180423","FH",1,2,"20180423",2018,4,23,100,FALSE,FALSE,FALSE,NA,1,1,21176548,21.176548,TRUE,19.2302089574468
"MLFH010220180507","FH",1,2,"20180507",2018,5,7,68,FALSE,FALSE,FALSE,NA,1,1,16896187,16.896187,TRUE,19.2302089574468
"MLFH010220180518","FH",1,2,"20180518",2018,5,18,50,FALSE,FALSE,FALSE,NA,1,1,18312014,18.312014,TRUE,19.2302089574468
"MLFH010220190401","FH",1,2,"20190401",2019,4,1,28,FALSE,FALSE,FALSE,NA,2,2,32873343,32.873343,TRUE,20.2471597525773
"MLFH010220190415","FH",1,2,"20190415",2019,4,15,66,FALSE,FALSE,FALSE,NA,2,2,23650112,23.650112,TRUE,20.2471597525773
"MLFH010220190429","FH",1,2,"20190429",2019,4,29,33,FALSE,FALSE,FALSE,NA,2,2,22978801,22.978801,TRUE,20.2471597525773
"MLFH010220190513","FH",1,2,"20190513",2019,5,13,32,FALSE,FALSE,FALSE,NA,2,2,19378929,19.378929,TRUE,20.2471597525773
"MLFH010220190528","FH",1,2,"20190528",2019,5,28,35,FALSE,FALSE,FALSE,NA,2,2,1947481,1.947481,TRUE,20.2471597525773
"MLFH010320180409","FH",1,3,"20180409",2018,4,9,20,FALSE,FALSE,FALSE,NA,1,1,9462803,9.462803,TRUE,9.30201048908297
"MLFH010320180423","FH",1,3,"20180423",2018,4,23,100,FALSE,FALSE,FALSE,NA,1,1,9856767,9.856767,TRUE,9.30201048908297
"MLFH010320180507","FH",1,3,"20180507",2018,5,7,64,FALSE,FALSE,FALSE,NA,1,1,9449988,9.449988,TRUE,9.30201048908297
"MLFH010320180518","FH",1,3,"20180518",2018,5,18,45,FALSE,FALSE,FALSE,NA,1,1,7787298,7.787298,TRUE,9.30201048908297
"MLFH010320190401","FH",1,3,"20190401",2019,4,1,1,FALSE,FALSE,FALSE,NA,2,2,1033846,1.033846,TRUE,6.82973733333333
"MLFH010320190415","FH",1,3,"20190415",2019,4,15,27,FALSE,FALSE,FALSE,NA,2,2,6486295,6.486295,TRUE,6.82973733333333
"MLFH010320190429","FH",1,3,"20190429",2019,4,29,33,FALSE,FALSE,FALSE,NA,2,2,7203362,7.203362,TRUE,6.82973733333333
"MLFH010320190513","FH",1,3,"20190513",2019,5,13,41,FALSE,FALSE,FALSE,NA,2,2,6808561,6.808561,TRUE,6.82973733333333
"MLFH010320190528","FH",1,3,"20190528",2019,5,28,15,FALSE,FALSE,FALSE,NA,2,2,7070234,7.070234,TRUE,6.82973733333333
"MLFH010420180409","FH",1,4,"20180409",2018,4,9,40,FALSE,FALSE,FALSE,NA,1,1,9096335,9.096335,TRUE,8.17491702145923
"MLFH010420180423","FH",1,4,"20180423",2018,4,23,100,FALSE,FALSE,FALSE,NA,1,1,8733260,8.73326,TRUE,8.17491702145923
"MLFH010420180507","FH",1,4,"20180507",2018,5,7,71,FALSE,FALSE,FALSE,NA,1,1,6741560,6.74156,TRUE,8.17491702145923
"MLFH010420180518","FH",1,4,"20180518",2018,5,18,22,FALSE,FALSE,FALSE,NA,1,1,8587523,8.587523,TRUE,8.17491702145923
"MLFH010420190401","FH",1,4,"20190401",2019,4,1,30,FALSE,FALSE,FALSE,NA,2,2,9133621,9.133621,TRUE,7.75164488085106
"MLFH010420190415","FH",1,4,"20190415",2019,4,15,82,FALSE,FALSE,FALSE,NA,2,2,8334896,8.334896,TRUE,7.75164488085106
"MLFH010420190429","FH",1,4,"20190429",2019,4,29,28,FALSE,FALSE,FALSE,NA,2,2,8206696,8.206696,TRUE,7.75164488085106
"MLFH010420190513","FH",1,4,"20190513",2019,5,13,54,FALSE,FALSE,FALSE,NA,2,2,7253895,7.253895,TRUE,7.75164488085106
"MLFH010420190528","FH",1,4,"20190528",2019,5,28,41,FALSE,FALSE,FALSE,NA,2,2,5918747,5.918747,TRUE,7.75164488085106
"MLFH010420200406","FH",1,4,"20200406",2020,4,6,2,FALSE,FALSE,FALSE,NA,3,3,9926996,9.926996,TRUE,7.96589765
"MLFH010420200420","FH",1,4,"20200420",2020,4,20,6,FALSE,FALSE,FALSE,NA,3,3,8721372,8.721372,TRUE,7.96589765
"MLFH010420200504","FH",1,4,"20200504",2020,5,4,7,FALSE,FALSE,FALSE,NA,3,3,6038667,6.038667,TRUE,7.96589765
"MLFH010420200518","FH",1,4,"20200518",2020,5,18,5,FALSE,FALSE,FALSE,NA,3,3,8973012,8.973012,TRUE,7.96589765
"MLFH010520180409","FH",1,5,"20180409",2018,4,9,27,FALSE,FALSE,FALSE,NA,1,1,6618246,6.618246,TRUE,7.23048581858407
"MLFH010520180423","FH",1,5,"20180423",2018,4,23,100,FALSE,FALSE,FALSE,NA,1,1,9431227,9.431227,TRUE,7.23048581858407
"MLFH010520180507","FH",1,5,"20180507",2018,5,7,57,FALSE,FALSE,FALSE,NA,1,1,5027237,5.027237,TRUE,7.23048581858407
"MLFH010520180518","FH",1,5,"20180518",2018,5,18,42,FALSE,FALSE,FALSE,NA,1,1,5374332,5.374332,TRUE,7.23048581858407
"MLFH010520190401","FH",1,5,"20190401",2019,4,1,10,FALSE,FALSE,FALSE,NA,2,2,6839556,6.839556,TRUE,6.1733831127451
"MLFH010520190415","FH",1,5,"20190415",2019,4,15,63,FALSE,FALSE,FALSE,NA,2,2,6257328,6.257328,TRUE,6.1733831127451
"MLFH010520190429","FH",1,5,"20190429",2019,4,29,51,FALSE,FALSE,FALSE,NA,2,2,5559121,5.559121,TRUE,6.1733831127451
"MLFH010520190513","FH",1,5,"20190513",2019,5,13,48,FALSE,FALSE,FALSE,NA,2,2,7174523,7.174523,TRUE,6.1733831127451
"MLFH010520190528","FH",1,5,"20190528",2019,5,28,32,FALSE,FALSE,FALSE,NA,2,2,5277208,5.277208,TRUE,6.1733831127451
"MLFH010520200323","FH",1,5,"20200323",2020,3,23,6,FALSE,FALSE,FALSE,NA,3,3,9125742,9.125742,TRUE,8.59792440277778
"MLFH010520200406","FH",1,5,"20200406",2020,4,6,35,FALSE,FALSE,FALSE,NA,3,3,7599139,7.599139,TRUE,8.59792440277778
"MLFH010520200420","FH",1,5,"20200420",2020,4,20,20,FALSE,FALSE,FALSE,NA,3,3,9108222,9.108222,TRUE,8.59792440277778
"MLFH010520200504","FH",1,5,"20200504",2020,5,4,7,FALSE,FALSE,FALSE,NA,3,3,10628964,10.628964,TRUE,8.59792440277778
