"site","plot","date","transect","individual","plantid","siliquesnumber","comments"
1,1,20180604,1,1,"SC-01-1-1-1-20180604",11,"1=diagonal"
1,1,20180604,1,2,"SC-01-1-1-2-20180604",30,""
1,1,20180604,1,3,"SC-01-1-1-3-20180604",74,""
1,1,20180604,1,4,"SC-01-1-1-4-20180604",182,""
1,1,20180604,1,5,"SC-01-1-1-5-20180604",12,""
1,1,20180604,2,1,"SC-01-1-2-1-20180604",4,"2=off-diagonal"
1,1,20180604,2,2,"SC-01-1-2-2-20180604",10,""
1,1,20180604,2,3,"SC-01-1-2-3-20180604",14,""
1,1,20180604,2,4,"SC-01-1-2-4-20180604",170,""
1,1,20180604,2,5,"SC-01-1-2-5-20180604",44,""
1,2,20180604,1,1,"SC-01-2-1-1-20180604",209,""
1,2,20180604,1,2,"SC-01-2-1-2-20180604",20,""
1,2,20180604,1,3,"SC-01-2-1-3-20180604",106,""
1,2,20180604,1,4,"SC-01-2-1-4-20180604",163,""
1,2,20180604,1,5,"SC-01-2-1-5-20180604",32,""
1,2,20180604,1,6,"SC-01-2-1-6-20180604",77,""
1,2,20180604,2,1,"SC-01-2-2-1-20180604",88,""
1,2,20180604,2,2,"SC-01-2-2-2-20180604",8,""
1,2,20180604,2,3,"SC-01-2-2-3-20180604",28,""
1,2,20180604,2,4,"SC-01-2-2-4-20180604",100,""
1,2,20180604,2,5,"SC-01-2-2-5-20180604",34,""
1,3,20180604,1,1,"SC-01-3-1-1-20180604",244,""
1,3,20180604,1,2,"SC-01-3-1-2-20180604",231,""
1,3,20180604,1,3,"SC-01-3-1-3-20180604",154,""
1,3,20180604,1,4,"SC-01-3-1-4-20180604",191,""
1,3,20180604,1,5,"SC-01-3-1-5-20180604",58,""
1,3,20180604,1,6,"SC-01-3-1-6-20180604",252,""
1,3,20180604,2,1,"SC-01-3-2-1-20180604",785,""
1,3,20180604,2,2,"SC-01-3-2-2-20180604",93,""
1,3,20180604,2,3,"SC-01-3-2-3-20180604",9,""
1,3,20180604,2,4,"SC-01-3-2-4-20180604",70,""
1,4,20180604,1,1,"SC-01-4-1-1-20180604",35,""
1,4,20180604,1,2,"SC-01-4-1-2-20180604",105,""
1,4,20180604,1,3,"SC-01-4-1-3-20180604",405,""
1,4,20180604,1,4,"SC-01-4-1-4-20180604",4,""
1,4,20180604,1,5,"SC-01-4-1-5-20180604",112,""
1,4,20180604,1,6,"SC-01-4-1-6-20180604",85,""
1,4,20180604,1,7,"SC-01-4-1-7-20180604",116,""
1,4,20180604,2,1,"SC-01-4-2-1-20180604",87,""
1,4,20180604,2,2,"SC-01-4-2-2-20180604",49,""
1,4,20180604,2,3,"SC-01-4-2-3-20180604",213,""
1,4,20180604,2,4,"SC-01-4-2-4-20180604",95,""
1,4,20180604,2,5,"SC-01-4-2-5-20180604",84,""
1,4,20180604,2,6,"SC-01-4-2-6-20180604",131,""
1,4,20180604,2,7,"SC-01-4-2-7-20180604",144,""
