"stationid","dist2site","station_longitude","station_latitude","station_altitude","station_name","nobs_2017","nobs_2018","nobs_2019","nobs_2020","nobs_2021","nobs_full","prcp_avail"
"10738099999",21516.7130403133,9.221964,48.689878,388.92,"STUTTGART, GM",365,365,365,366,362,TRUE,FALSE
"07643099999",10580.7941304143,3.963014,43.576194,5.18,"MEDITERRANEE, FR",365,365,365,366,362,TRUE,TRUE
"71820099999",44757.6628776515,-76.6,44.2166666,93,"KINGSTON CLIMATE, CA",355,363,365,366,362,TRUE,TRUE
"08397099999",46687.5384170874,-5.615944,37.174917,86.86,"MORON AB, SP",365,365,365,366,362,TRUE,TRUE
"08221099999",11851.8471610745,-3.566764,40.493556,609.6,"BARAJAS, SP",365,365,365,366,362,TRUE,TRUE
"08181099999",35616.3477598806,2.078464,41.297078,3.65,"BARCELONA, SP",365,365,365,366,363,TRUE,TRUE
"72534014819",12730.2123145656,-87.75222,41.78611,186.5,"CHICAGO MIDWAY AIRPORT, IL US",365,365,365,366,365,TRUE,TRUE
"72503794745",7678.63590234035,-73.70463,41.06236,111.9,"WESTCHESTER CO AIRPORT, NY US",365,365,365,366,365,TRUE,TRUE
"72254413958",4379.47799971304,-97.7604,30.3208,204.2,"AUSTIN CAMP MABRY, TX US",365,365,365,365,365,TRUE,TRUE
"72445003945",8663.49017204269,-92.2183,38.8169,272.2,"COLUMBIA SNOW, MO US",365,365,365,366,365,TRUE,TRUE
"72503014732",9140.86292224629,-73.88035,40.77944,3.4,"LAGUARDIA AIRPORT, NY US",365,365,365,366,365,TRUE,TRUE
"72254413958",8055.06123341998,-97.7604,30.3208,204.2,"AUSTIN CAMP MABRY, TX US",365,365,365,365,365,TRUE,TRUE
"10385099999",33815.8828643116,13.5225,52.380001,47.85,"SCHONEFELD, GM",365,365,365,366,362,TRUE,FALSE
"08014499999",45322.158252416,-3.635694,37.133222,700.12,"ARMILLA, SP",364,364,328,363,361,TRUE,FALSE
