,site,year_experiment_ended,reason,comments
0,1,,,
1,2,,,
2,3,0.0,no_existence,
3,4,,,
4,5,,,
5,6,,,
6,7,0.0,not_successful,"Some flowers were seen in March, but no more info"
7,8,0.0,no_existence,
8,9,,,
9,10,,,
10,11,,,
11,12,,,
12,13,,,
13,14,0.0,no_existence,
14,15,0.0,no_existence,
15,16,0.0,no_existence,
16,17,0.0,no_existence,
17,18,0.0,no_existence,
18,19,0.0,no_germination,
19,20,0.0,no_germination,
20,21,0.0,no_germination,
21,22,0.0,no_existence,
22,23,,,
23,24,,,
24,25,,,
25,26,,,
26,27,,,
27,28,,,
28,29,0.0,no_existence,
29,30,0.0,no_existence,
30,31,0.0,no_existence,
31,32,,,
32,33,,,
33,34,0.0,no_existence,
34,35,0.0,not_successful,snails
35,36,0.0,no_success,they say they saw flowers in the diary but no census or samples sent
36,37,,,
37,38,0.0,no_existence,
38,39,0.0,no_existence,
39,39,0.0,no_existence,
40,40,0.0,no_existence,
41,41,0.0,no_germination,
42,42,,,
43,43,,,
44,44,0.0,not_reported,
45,45,,,
46,46,,,
47,47,0.0,no_germination,
48,48,,,
49,49,,,
50,50,0.0,no_germination,
51,51,0.0,no_germination,
52,52,,,
53,53,,,
54,54,,,
55,55,,,
56,56,0.0,not_successful,germinants died frozen
57,57,,,
58,58,,,
59,59,0.0,no_existence,
60,60,,,
