SITE LONGITUDE LATITUDE colorscale
1 9.034098 48.541492 2
2 3.862563 43.637546 2
4 -5.4976326 36.7658248 2
5 3.689585 40.544968 2
6 2.171589 41.609686 2
7 -87.5987133 41.7886079 0
9 -73.73042 41.128624 2
10 -97.7781 30.2845 2
11 -92.2048 38.8941 2
12 -73.873887 40.8615 2
13 -97.7282 30.3877 2
19 13.025684 52.40374 0
20 -3.1378173 37.0416164 -1
21 -3.434291 37.111931 0
23 -93.2277285 44.97399 1
24 12.2513095 47.4497732 3
25 11.6952054 48.4051635 2
26 34.7827 30.85642 1
27 26.3540068 58.2590013 2
28 -78.9382286 36.0014258 2
30 6.5326166 53.2412578 0
32 2.5808832 39.6665263 2
33 6.576619 46.522265 2
35 -2.3246 51.3956 -1
36 -1.1951582 52.938636 -1
37 5.1070722 60.6955192 1
41 14.5603064 50.0017145 -1
42 20.985389 52.213833 2
43 26.568663 39.082996 2
44 17.2842162 62.3946271 -1
45 -3.883385 40.334126 2
46 9.933494 49.764978 2
47 13.066667 52.4 0
48 -73.204257 44.431263 1
49 9.1788 47.6921 2
50 -79.5316 44.0296 0
51 -79.396 43.66328 0
52 11.87735 51.391832 2
53 11.932163 51.496912 2
54 6.936381 50.925398 1
55 3.842508 45.916962 2
56 22.27434199 60.30133134 0
57 5.172565 52.089908 3
58 6.399983 45.036433 1
60 -121.74051 38.5449 1
